"","RFPred","Name","HTeam","Pos","Actual"
"38254",3.54455555555556,"A.J. Ellis","WSH","C",14
"38255",12.4466666666667,"A.J. Pollock","PIT","OF",2
"38256",9.6,"Adam Duvall","TEX","OF",9
"38257",8.41611111111111,"Addison Russell","ATL","SS",3
"38258",7.81633333333333,"Adeiny Hechavarria","HOU","SS",10
"38259",6.51544444444444,"Adrian Beltre","CIN","3B",4
"38260",8.82638888888889,"Albert Pujols","SD","1B",0
"38261",7.10088888888889,"Alex Avila","CLE","C",7
"38262",7.85561111111111,"Alex Bregman","SEA","3B",0
"38263",5.17244444444444,"Amed Rosario","WSH","SS",7
"38264",5.76188888888889,"Andrelton Simmons","TEX","SS",10
"38265",6.59544444444444,"Andrew Benintendi","MIN","OF",3
"38266",5.21561111111111,"Andrew Knapp","SD","C",9
"38267",4.31322222222222,"Andrew McCutchen","MIL","OF",0
"38268",7.27188888888889,"Anthony Rizzo","HOU","1B",3
"38269",5.67777777777778,"Asdrubal Cabrera","MIL","2B",8
"38270",7.82005555555555,"Austin Jackson","NYM","OF",4
"38271",8.79172222222222,"Avisail Garcia","CHC","OF",2
"38272",9.67377777777778,"Billy Hamilton","MIL","OF",7
"38273",5.10738888888889,"Bradley Zimmer","LAA","OF",3
"38274",3.56206746031746,"Brandon Belt","SF","1B",0
"38275",8.72111111111111,"Brandon Crawford","CWS","SS",3
"38276",10.3373333333333,"Brian Dozier","STL","2B",2
"38277",9.61127777777778,"Brian McCann","CHC","C",5
"38278",10.45,"Bryce Harper","SF","OF",0
"38279",4.83977777777778,"Buster Posey","ATL","1B/C",5
"38280",8.34683333333333,"C.J. Cron","ARI","1B",3
"38281",6.3075,"Carlos Asuaje","CHC","2B",6
"38282",13.2352222222222,"Carlos Correa","STL","SS",9
"38283",9.90638888888889,"Carlos Gomez","OAK","OF",21
"38284",7.54722222222222,"Carlos Gonzalez","LAD","OF",10
"38286",6.64616666666667,"Carlos Santana","PIT","1B",5
"38288",10.6073333333333,"Cesar Hernandez","ARI","2B",0
"38289",8.00394444444444,"Charlie Blackmon","LAA","OF",5
"38290",8.5285,"Chase Utley","CLE","2B",0
