,RFPred,RFPer,RF_M,RF_P,Actual,Salary,Name,HTeam,Opp,Pts,Pos,Xgb,XgbPer,xgb_M,xgb_P,DNN,DNNPer
36541,19.25038889,0.566187908,-12,15,0,3400,Justin Smoak (S),TOR,CWS,2.4,1B,0,0,0,0,0,0
36504,15.67677778,0.475053872,-7,28,0,3300,Josh Reddick (L),HOU,BAL,2.3,OF,0,0,0,0,0,0
36603,11.86838889,0.456476496,-13,-1,0,2600,Pat Valaika (R),COL,SD,2.3,SS,0,0,0,0,0,0
36608,14.99461111,0.454382155,-8,23,0,3300,Jed Lowrie (S),OAK,TEX,2.2,2B,0,0,0,0,0,0
36558,10.95588889,0.438235556,-8,12,0,2500,Rajai Davis (R),CLE,LAA,2.6,OF,0,0,0,0,0,0
36582,14.91894444,0.414415123,-12,10,0,3600,Eduardo Nunez (R),BOS,MIA,1.8,2B/SS,0,0,0,0,0,0
36513,11.47716667,0.40989881,-10,2,0,2800,Brian Anderson (R),MIA,BOS,2,3B,0,0,0,0,0,0
36533,13.04627778,0.407696181,-8,13,0,3200,Jose Pirela (R),SD,COL,2.1,OF,0,0,0,0,0,0
36535,13.38516667,0.405611111,-9,8,0,3300,Manuel Margot (R),SD,COL,2.3,OF,0,0,0,0,0,0
36560,11.69588889,0.403306513,-9,18,0,2900,Yan Gomes (R),CLE,LAA,2,C,0,0,0,0,0,0
36545,12.85422222,0.401694444,-10,6,0,3200,Devon Travis (R),TOR,CWS,2.5,2B,0,0,0,0,0,0
36631,14.07911111,0.39108642,-13,13,0,3600,Ozzie Albies (S),ATL,WSH,2,2B,0,0,0,0,0,0
36623,11.70672222,0.390224074,-9,10,0,3000,Leury Garcia (S),CWS,TOR,1.9,OF,0,0,0,0,0,0
36510,14.36927778,0.388358859,-9,2,0,3700,Marwin Gonzalez (S),HOU,BAL,2.1,1B/OF,0,0,0,0,0,0
36534,13.30811111,0.380231746,-8,8,0,3500,Wil Myers (R),SD,COL,2.3,1B/OF,0,0,0,0,0,0
36616,9.114055556,0.379752315,-5,8,0,2400,Dustin Garneau (R),OAK,TEX,2.2,C,0,0,0,0,0,0
36594,10.81827778,0.360609259,0,11,0,3000,Ryan McMahon (L),COL,SD,1.7,1B/2B,0,0,0,0,0,0
36526,15.57355556,0.353944444,-10,8,0,4400,Zack Cozart (R),LAA,CLE,1.6,SS,0,0,0,0,0,0
36525,10.35622222,0.334071685,-9,3,0,3100,Luis Valbuena (L),LAA,CLE,1.8,1B/3B,0,0,0,0,0,0
36485,7.654111111,0.33278744,-7,5,0,2300,Kyle Farmer (R),LAD,ARI,2.4,C,0,0,0,0,0,0
36593,8.244833333,0.329793333,-3,13,0,2500,Raimel Tapia (L),COL,SD,2.4,OF,0,0,0,0,0,0
36580,10.73611111,0.3253367,-7,12,0,3300,Hanley Ramirez (R),BOS,MIA,2.1,1B,0,0,0,0,0,0
