,RFPred,RFPer,RF_M,RF_P,Actual,Salary,Name,HTeam,Opp,Pts,Pos,Xgb,XgbPer,xgb_M,xgb_P,DNN,DNNPer
21482,11.39666667,0.259015152,-5,32,14,4400,Jonathan Schoop (R),BAL,TB,1.5,2B,0,0,0,0,0,0
21481,8.464611111,0.24895915,-9,16,0,3400,Trey Mancini (R),BAL,TB,1.7,1B/OF,0,0,0,0,0,0
21476,7.427444444,0.206317901,-7,21,10,3600,Seth Smith (L),BAL,TB,1.5,OF,0,0,0,0,0,0
21478,7.1445,0.230467742,-5,11,5,3100,Chris Davis (L),BAL,TB,2.1,1B,0,0,0,0,0,0
21484,7.016222222,0.226329749,-6,-1,3,3100,Caleb Joseph (R),BAL,TB,1.5,C,0,0,0,0,0,0
21477,6.008444444,0.154062678,-5,9,3,3900,Manny Machado (R),BAL,TB,1.8,3B,0,0,0,0,0,0
21483,5.691555556,0.132361757,-10,1,0,4300,Adam Jones (R),BAL,TB,1.7,OF,0,0,0,0,0,0
21278,13.54566667,0.255578616,1,13,34,5300,J.D. Martinez (R),ARI,ATL,1.5,OF,0,0,0,0,0,0
21479,4.997666667,0.138824074,-7,6,0,3600,Mark Trumbo (R),BAL,TB,1.7,OF,0,0,0,0,0,0
21308,13.16083333,0.398813131,-7,7,0,3300,Jacoby Ellsbury (L),NYY,CIN,2,OF,0,0,0,0,0,0
21480,2.496111111,0.096004274,-7,2,0,2600,Ruben Tejada (R),BAL,TB,1.5,3B/SS,0,0,0,0,0,0
21280,12.84988889,0.237960905,-14,17,22,5400,Paul Goldschmidt (R),ARI,ATL,1.7,1B,0,0,0,0,0,0
21335,16.68722222,0.314853249,-6,17,9,5300,Kris Bryant (R),CHC,CWS,1.7,3B,0,0,0,0,0,0
21338,14.17488889,0.272594017,-7,5,23,5200,Anthony Rizzo (L),CHC,CWS,1.6,1B,0,0,0,0,0,0
21340,11.76627778,0.420224206,-8,12,5,2800,Victor Caratini (S),CHC,CWS,2.1,C,0,0,0,0,0,0
21309,12.14044444,0.263922705,-11,3,13,4600,Brett Gardner (L),NYY,CIN,2,OF,0,0,0,0,0,0
21341,11.70566667,0.249056738,-4,17,0,4700,Ian Happ (S),CHC,CWS,1.7,2B/OF,0,0,0,0,0,0
21425,11.95788889,0.323186186,-6,67,2,3700,Scooter Gennett (L),CIN,NYY,1.7,2B/OF,0,0,0,0,0,0
21316,11.94733333,0.271530303,-12,1,9,4400,Gary Sanchez (R),NYY,CIN,1.8,C,0,0,0,0,0,0
21342,10.63638889,0.28746997,-2,14,9,3700,Kyle Schwarber (L),CHC,CWS,2.1,OF,0,0,0,0,0,0
21337,10.34505556,0.258626389,-9,11,8,4000,Jason Heyward (L),CHC,CWS,2.1,OF,0,0,0,0,0,0
21336,10.27616667,0.263491453,-10,9,17,3900,Addison Russell (R),CHC,CWS,1.8,SS,0,0,0,0,0,0
21334,9.410555556,0.213876263,-7,2,9,4400,Ben Zobrist (S),CHC,CWS,1.8,2B/OF,0,0,0,0,0,0
21268,11.53838889,0.329668254,-6,17,2,3500,Matt Kemp (R),ATL,ARI,1.9,OF,0,0,0,0,0,0
21339,6.805055556,0.212657986,-6,6,14,3200,Jon Jay (L),CHC,CWS,2.2,OF,0,0,0,0,0,0
21273,11.15027778,0.259308786,-11,6,20,4300,Gregor Blanco (L),ARI,ATL,2,OF,0,0,0,0,0,0
21377,11.7045,0.24384375,-6,13,13,4800,Carlos Santana (S),CLE,LAA,1.4,1B,0,0,0,0,0,0
21371,9.081944444,0.283810764,-9,6,12,3200,Austin Jackson (R),CLE,LAA,1.9,OF,0,0,0,0,0,0
21372,8.184055556,0.174128842,-4,3,10,4700,Francisco Lindor (S),CLE,LAA,1.6,SS,0,0,0,0,0,0
21376,7.347555556,0.174941799,-9,10,25,4200,Bradley Zimmer (L),CLE,LAA,1.9,OF,0,0,0,0,0,0
21374,6.641611111,0.141310875,-6,8,10,4700,Michael Brantley (L),CLE,LAA,1.5,OF,0,0,0,0,0,0
21370,6.475444444,0.223291188,-7,18,14,2900,Yan Gomes (R),CLE,LAA,2,C,0,0,0,0,0,0
21420,10.67288889,0.395292181,-8,12,2,2700,Tucker Barnhart (S),CIN,NYY,1.7,C,0,0,0,0,0,0
21375,5.432555556,0.110868481,-11,21,4,4900,Edwin Encarnacion (R),CLE,LAA,1.5,1B,0,0,0,0,0,0
21369,5.270555556,0.164704861,-7,12,10,3200,Erik Gonzalez (R),CLE,LAA,1.7,2B/SS,0,0,0,0,0,0
21373,5.2155,0.100298077,-7,37,5,5200,Jose Ramirez (S),CLE,LAA,1.5,2B/3B,0,0,0,0,0,0
21474,12.48511111,0.29726455,-5,9,0,4200,Trevor Story (R),COL,STL,1.3,SS,0,0,0,0,0,0
21475,7.948444444,0.172792271,-7,10,12,4600,Gerardo Parra (L),COL,STL,1.2,OF,0,0,0,0,0,0
21472,6.439333333,0.165111111,-8,22,7,3900,DJ LeMahieu (R),COL,STL,1.6,2B,0,0,0,0,0,0
21426,10.34994444,0.279728228,-8,15,0,3700,Billy Hamilton (S),CIN,NYY,1.4,OF,0,0,0,0,0,0
21473,6.422611111,0.121181342,-11,13,10,5300,Charlie Blackmon (L),COL,STL,1.4,OF,0,0,0,0,0,0
21471,5.507555556,0.125171717,-11,0,5,4400,Mark Reynolds (R),COL,STL,1.3,1B,0,0,0,0,0,0
21469,5.189888889,0.225647343,-7,0,0,2300,Ryan Hanigan (R),COL,STL,1.7,C,0,0,0,0,0,0
21421,10.21433333,0.243198413,-11,26,12,4200,Joey Votto (L),CIN,NYY,1.5,1B,0,0,0,0,0,0
21470,4.520555556,0.088638344,-13,24,25,5100,Nolan Arenado (R),COL,STL,1.3,3B,0,0,0,0,0,0
21468,2.94,0.084,-8,10,3,3500,Carlos Gonzalez (L),COL,STL,1.5,OF,0,0,0,0,0,0
21419,10.09083333,0.280300926,-12,15,11,3600,Eugenio Suarez (R),CIN,NYY,1.5,3B,0,0,0,0,0,0
21305,9.033555556,0.225838889,-13,9,3,4000,Jose Abreu (R),CWS,CHC,1.7,1B,0,0,0,0,0,0
21299,6.412388889,0.168747076,-2,17,0,3800,Melky Cabrera (S),CWS,CHC,1.7,OF,0,0,0,0,0,0
21301,5.797611111,0.187019713,-8,4,16,3100,Alen Hanson (S),CWS,CHC,1.5,2B/OF,0,0,0,0,0,0
21461,9.955444444,0.269066066,-7,11,10,3700,Adam Frazier (L),PIT,SF,1.3,OF,0,0,0,0,0,0
21271,9.935888889,0.194821351,-12,8,10,5100,Freddie Freeman (L),ATL,ARI,1.5,1B/3B,0,0,0,0,0,0
21302,5.770166667,0.230806667,-4,3,5,2500,Omar Narvaez (L),CWS,CHC,1.8,C,0,0,0,0,0,0
21300,5.147611111,0.151400327,-7,9,18,3400,Yoan Moncada (S),CWS,CHC,1.4,2B/3B,0,0,0,0,0,0
21303,4.964777778,0.198591111,-2,11,0,2500,Adam Engel (R),CWS,CHC,1.9,OF,0,0,0,0,0,0
21304,4.561944444,0.162926587,-5,16,0,2800,Tim Anderson (R),CWS,CHC,1.9,SS,0,0,0,0,0,0
21265,9.722777778,0.405115741,-5,18,12,2400,Dansby Swanson (R),ATL,ARI,2.3,SS,0,0,0,0,0,0
21307,3.193333333,0.118271605,-7,11,3,2700,Carlos Sanchez (S),CWS,CHC,2.4,2B,0,0,0,0,0,0
21266,9.587333333,0.266314815,-10,8,0,3600,Johan Camargo (S),ATL,ARI,1.5,3B,0,0,0,0,0,0
21306,2.557111111,0.071030864,-9,13,2,3600,Matt Davidson (R),CWS,CHC,1.8,1B/3B,0,0,0,0,0,0
21362,10.67961111,0.242718434,-9,12,4,4400,Justin Upton (R),DET,KC,1.8,OF,0,0,0,0,0,0
21279,9.536,0.340571429,-3,6,9,2800,Jeff Mathis (R),ARI,ATL,2.4,C,0,0,0,0,0,0
21360,9.02,0.300666667,-8,6,3,3000,James McCann (R),DET,KC,1.9,C,0,0,0,0,0,0
21365,8.453888889,0.241539683,-5,13,0,3500,Victor Martinez (S),DET,KC,0,1B,0,0,0,0,0,0
21363,7.781,0.222314286,-8,-2,5,3500,Mikie Mahtook (R),DET,KC,1.6,OF,0,0,0,0,0,0
21368,7.317166667,0.182929167,-7,21,2,4000,Ian Kinsler (R),DET,KC,1.9,2B,0,0,0,0,0,0
21449,9.141555556,0.228538889,-6,18,9,4000,Buster Posey (R),SF,PIT,1.6,1B/C,0,0,0,0,0,0
21366,5.486444444,0.148282282,-8,20,7,3700,Jose Iglesias (R),DET,KC,1.4,SS,0,0,0,0,0,0
21445,9.044277778,0.323009921,-6,19,7,2800,Joe Panik (L),SF,PIT,2.3,2B,0,0,0,0,0,0
21364,5.348388889,0.157305556,-9,8,0,3400,Miguel Cabrera (R),DET,KC,0,1B,0,0,0,0,0,0
21361,4.949833333,0.18332716,-7,9,0,2700,Alex Presley (L),DET,KC,2.4,OF,0,0,0,0,0,0
21367,3.822166667,0.109204762,-5,14,6,3500,Nick Castellanos (R),DET,KC,1.9,3B,0,0,0,0,0,0
21438,8.802611111,0.214697832,-10,5,3,4100,Brian McCann (L),HOU,PHI,1.3,C,0,0,0,0,0,0
21274,8.990111111,0.242975976,-8,0,14,3700,Daniel Descalso (L),ARI,ATL,2,2B/OF,0,0,0,0,0,0
21444,8.968888889,0.256253968,-9,12,9,3500,Brandon Belt (L),SF,PIT,1.9,1B/OF,0,0,0,0,0,0
21462,8.930722222,0.190015366,-8,2,0,4700,Andrew McCutchen (R),PIT,SF,1.4,OF,0,0,0,0,0,0
21436,8.624555556,0.162727463,-9,14,8,5300,Jose Altuve (R),HOU,PHI,1.2,2B,0,0,0,0,0,0
21443,8.219944444,0.178694444,-9,14,5,4600,Marwin Gonzalez (S),HOU,PHI,1.3,3B/OF,0,0,0,0,0,0
21440,6.911277778,0.147048463,-9,18,0,4700,Yulieski Gurriel (R),HOU,PHI,1.3,1B,0,0,0,0,0,0
21441,6.481888889,0.308661376,-5,6,6,2100,Tyler White (R),HOU,PHI,2.1,1B,0,0,0,0,0,0
21277,8.7865,0.162712963,-10,15,6,5400,Jake Lamb (L),ARI,ATL,1.6,3B,0,0,0,0,0,0
21437,6.476777778,0.15797019,-6,27,6,4100,Carlos Beltran (S),HOU,PHI,1.4,OF,0,0,0,0,0,0
21267,8.706722222,0.241853395,-9,15,7,3600,Brandon Phillips (R),ATL,ARI,2.1,2B,0,0,0,0,0,0
21439,5.502222222,0.117068558,-10,16,5,4700,Josh Reddick (L),HOU,PHI,1.3,OF,0,0,0,0,0,0
21275,8.681333333,0.157842424,-4,21,0,5500,A.J. Pollock (R),ARI,ATL,1.7,OF,0,0,0,0,0,0
21442,5.296444444,0.155777778,-1,21,0,3400,Derek Fisher (L),HOU,PHI,1.7,OF,0,0,0,0,0,0
21346,8.688444444,0.41373545,-3,15,11,2100,Drew Butera (R),KC,DET,2.4,C,0,0,0,0,0,0
21424,8.6195,0.221012821,-5,11,18,3900,Adam Duvall (R),CIN,NYY,1.6,OF,0,0,0,0,0,0
21345,6.971222222,0.165981481,-7,6,17,4200,Mike Moustakas (L),KC,DET,1.6,3B,0,0,0,0,0,0
21351,6.173277778,0.154331944,-7,10,12,4000,Jorge Bonifacio (R),KC,DET,1.8,OF,0,0,0,0,0,0
21349,6.160777778,0.143273902,-9,12,49,4300,Eric Hosmer (L),KC,DET,1.6,1B,0,0,0,0,0,0
21347,6.004666667,0.162288288,-10,25,17,3700,Lorenzo Cain (R),KC,DET,2,OF,0,0,0,0,0,0
21348,5.5605,0.129313953,-7,22,15,4300,Whit Merrifield (R),KC,DET,1.9,2B,0,0,0,0,0,0
21343,5.170166667,0.191487654,-7,11,19,2700,Alcides Escobar (R),KC,DET,2.3,SS,0,0,0,0,0,0
21344,4.651777778,0.136816993,-4,7,8,3400,Alex Gordon (L),KC,DET,1.7,OF,0,0,0,0,0,0
21272,8.319944444,0.252119529,-9,2,10,3300,Tyler Flowers (R),ATL,ARI,1.8,C,0,0,0,0,0,0
21350,4.289722222,0.109992877,-16,11,9,3900,Brandon Moss (L),KC,DET,1.7,OF,0,0,0,0,0,0
21325,12.23827778,0.33995216,-7,18,21,3600,Luis Valbuena (L),LAA,CLE,1.4,1B/3B,0,0,0,0,0,0
21317,9.999944444,0.277776235,-5,13,10,3600,Andrelton Simmons (R),LAA,CLE,1.6,SS,0,0,0,0,0,0
21322,9.825,0.188942308,-10,11,9,5200,Mike Trout (R),LAA,CLE,1.4,OF,0,0,0,0,0,0
21324,9.786777778,0.444853535,-2,20,5,2200,Kaleb Cowart (S),LAA,CLE,1.9,3B,0,0,0,0,0,0
21323,8.576055556,0.295726054,-11,14,0,2900,Kole Calhoun (L),LAA,CLE,2.1,OF,0,0,0,0,0,0
21321,7.3985,0.25512069,-7,7,0,2900,Yunel Escobar (R),LAA,CLE,2,3B,0,0,0,0,0,0
21320,6.357444444,0.198670139,-5,4,0,3200,Martin Maldonado (R),LAA,CLE,1.4,C,0,0,0,0,0,0
21319,5.926055556,0.174295752,-4,16,6,3400,Ben Revere (L),LAA,CLE,1.5,OF,0,0,0,0,0,0
21318,4.698777778,0.130521605,-5,1,0,3600,Albert Pujols (R),LAA,CLE,1.6,1B,0,0,0,0,0,0
21406,17.35594444,0.369275414,-14,13,3,4700,Corey Seager (L),LAD,MIN,1.7,SS,0,0,0,0,0,0
21405,14.17166667,0.329573643,-6,7,9,4300,Justin Turner (R),LAD,MIN,1.7,3B,0,0,0,0,0,0
21312,7.888444444,0.202267806,-7,6,7,3900,Matt Holliday (R),NYY,CIN,1.9,1B,0,0,0,0,0,0
