RFPred,RFPer,RF_M,RF_P,Actual,Salary,Name,HTeam,Opp,Pts,Pos,Xgb,XgbPer,xgb_M,xgb_P,DNN,DNNPer
22.71644444,0.504809877,-9,12,12,4500,Yoan Moncada (S),CWS,DET,1.7,2B,0,0,0,0,0,0
21.57505556,0.459043735,-9,6,8,4700,Avisail Garcia (R),CWS,DET,1.5,OF,0,0,0,0,0,0
15.45866667,0.322055556,-15,22,43,4800,Josh Donaldson (R),TOR,MIN,1.5,3B,0,0,0,0,0,0
14.87777778,0.371944444,-7,23,5,4000,Ian Desmond (R),COL,SD,1.9,1B/OF,0,0,0,0,0,0
14.75161111,0.409766975,-8,13,7,3600,Nick Castellanos (R),DET,CWS,2,3B,0,0,0,0,0,0
14.39888889,0.389159159,-4,15,3,3700,Kevin Kiermaier (L),TB,BOS,1.9,OF,0,0,0,0,0,0
14.34983333,0.377627193,-5,28,26,3800,Ryan Braun (R),MIL,MIA,2.2,OF,0,0,0,0,0,0
13.69083333,0.370022523,-8,15,7,3700,Domingo Santana (R),MIL,MIA,2.2,OF,0,0,0,0,0,0
13.631,0.296326087,-12,12,11,4600,Jose Abreu (R),CWS,DET,1.8,1B,0,0,0,0,0,0
13.53022222,0.24600404,-12,14,5,5500,Giancarlo Stanton (R),MIA,MIL,1.4,OF,0,0,0,0,0,0
12.67566667,0.234734568,-10,22,2,5400,Mike Trout (R),LAA,TEX,1.6,OF,0,0,0,0,0,0
12.41061111,0.344739198,-15,6,0,3600,Luis Valbuena (L),LAA,TEX,1.6,1B/3B,0,0,0,0,0,0
12.34077778,0.293828042,-8,11,3,4200,A.J. Pollock (R),ARI,SF,1.6,OF,0,0,0,0,0,0
12.33911111,0.22034127,-8,12,6,5600,Aaron Judge (R),NYY,BAL,1.5,OF,0,0,0,0,0,0
12.19305556,0.239079521,-11,8,0,5100,Byron Buxton (R),MIN,TOR,1.4,OF,0,0,0,0,0,0
12.15277778,0.248015873,-6,26,7,4900,Andrew Benintendi (L),BOS,TB,1.3,OF,0,0,0,0,0,0
12.05405556,0.256469267,6,17,14,4700,Matt Olson (L),OAK,PHI,1.6,1B/OF,0,0,0,0,0,0
