"","RFPred","RFPer","RF_M","RF_P","Actual","Salary","Name","HTeam","Opp","Pts","Pos","C1B","C2B","C3B","C4B","C5B","C6B","C7B","C8B","C9B","C1P","C2P","C3P","C4P","C5P","C6P","C7P","C8P","C9P","Xgb","XgbPer","xgb_M","xgb_P","DNN","DNNPer"
"33329",7.00494444444444,0,-7,9,0,4800,"Jose Ramirez","CLE","BAL",1.5,"3B",0,2.3,0,0,0.71,1.25,0,1.7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"33330",6.54255555555556,0,-5,20,0,3800,"Jason Kipnis","CLE","BAL",1.8,"2B",0,0,0,1.1211,3.1875,0.9519,0.98,1.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"33331",4.19211111111111,0,-7,11,0,2800,"Brandon Guyer","CLE","BAL",1.6,"OF",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"33332",6.90655555555555,0,-10,38,0,4700,"Francisco Lindor","CLE","BAL",1.6,"SS",4.8,0,1.332,4.2688,1.6,0.88,1.8304,0,1.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"33333",6.17422222222222,0,-9,6,0,2900,"Yan Gomes","CLE","BAL",1.9,"C",1.3986,0,0,0,1.6317,2.275,0,2.1,3.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"33334",8.56855555555555,0,-4,7,0,3800,"Michael Brantley","CLE","BAL",1.6,"OF",2.1645,0,2.6,0,9.1,3.4684,0,2.5974,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"33335",4.53261111111111,0,-8,5,0,3200,"Bradley Zimmer","CLE","BAL",1.8,"OF",1.35,0,0,4.75,0,0,0,6.2832,0.8991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"33336",5.22327777777778,0,-4,27,0,4500,"Edwin Encarnacion","CLE","BAL",1.4,"1B",1.4,0,0,1.7316,2.08,0,0,0,1.875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"33337",5.48672222222222,0,-8,2,0,4000,"Yonder Alonso","CLE","BAL",1.6,"1B",0,1.75,0,0,1.72,1.1655,2,2.0313,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"33338",4.05838888888889,0,-11,5,0,3800,"Adam Jones","BAL","CLE",1.4,"OF",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"33339",3.942,0,-6,25,0,2900,"Tim Beckham","BAL","CLE",2.1,"3B",0.7014,1.7,0,0.8723,4.8024,3.6036,0,0,2.0748,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"33340",4.74594444444445,0,-7,11,0,2700,"Chance Sisco","BAL","CLE",1.6,"C",2.55,0,0,2.4,4.62,5.1282,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"33341",8.31705555555556,0,-14,3,0,3000,"Chris Davis","BAL","CLE",1.7,"1B",0,1.1988,1.4,0.8991,0.858,0,0,1.8648,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"33342",5.68116666666667,0,-11,16,0,2400,"Craig Gentry","BAL","CLE",1.7,"OF",0,0,3.1349,2.325,0,0,0,2.1,4.662,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"33343",7.78127777777778,0,-3,10,0,2700,"Danny Valencia","BAL","CLE",1.9,"3B",1.325,0,0,3.2301,0,0,2.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"33344",3.82705555555555,0,-9,18,0,2800,"Anthony Santander","BAL","CLE",1.5,"OF",0,0,3.5,2.5,3.5,0,0,3.2175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"33345",4.74822222222222,0,-5,14,0,2900,"Pedro Alvarez","BAL","CLE",1.9,"1B/3B",2.45,0,0,1.8648,6.3,0,1.3986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"33346",9.12105555555556,0,-17,14,0,5000,"Manny Machado","BAL","CLE",1.2,"SS",0,3.54,0,2.64,1.56,2.2,3.12,0,2.125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"33347",14.7178888888889,0,-8,1,0,4700,"Wil Myers","SD","COL",1.8,"1B/OF",0,0,0,0,3.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"33348",10.218,0,-7,-1,0,3200,"Carlos Asuaje","SD","COL",2.1,"2B",1.2654,2.425,0,2.288,3.88,0.7014,0,0.6578,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"33349",11.0782777777778,0,-7,12,0,4300,"Jose Pirela","SD","COL",1.7,"OF",2.8014,2.6,0.9657,1.8315,1.2876,6.4236,0,2.32,1.2525,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"33350",6.18261111111111,0,-5,6,0,3500,"Freddy Galvis","SD","COL",2,"SS",3.5,0,0,2.4642,2.64,1.45,2.6013,2.0646,1.6983,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"33351",6.806,0,-7,15,0,2900,"A.J. Ellis","SD","COL",2,"C",0,4.65,0,3.325,2.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"33352",8.95238888888889,0,-12,3,0,4400,"Eric Hosmer","SD","COL",1.8,"1B",2.4,4.002,1.8,2.2,2.55,1.5984,0,3,2.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"33353",6.02833333333333,0,-11,6,0,3500,"Cory Spangenberg","SD","COL",1.9,"3B/OF",5.4,5.4,1.8,2.825,1.4863,0,0,2.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"33354",9.37094444444445,0,-6,26,0,3900,"Franchy Cordero","SD","COL",2,"OF",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"33355",7.30955555555556,0,-13,0,0,3200,"Mike Zunino","SEA","CWS",2,"C",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"33356",7.21911111111111,0,-7,2,0,3000,"Ben Gamel","SEA","CWS",1.9,"OF",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
