RFPred,RFPer,RF_M,RF_P,Actual,Salary,Name,HTeam,Opp,Pts,Pos,C1B,C2B,C3B,C4B,C5B,C6B,C7B,C8B,C9B,C1P,C2P,C3P,C4P,C5P,C6P,C7P,C8P,C9P,Xgb,XgbPer,xgb_M,xgb_P,DNN,DNNPer
8.912,0,-12,8,3,4300,Scooter Gennett,CIN,ARI,1.6,2B/OF,2.5984,2.0945,1.224,1.496,2.1725,1.404,1.7316,2.2734,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6.4845,0,-7,8,3,2900,Jose Peraza,CIN,ARI,2.2,2B/SS,1.1304,0.9894,1,1.175,2.3976,2.002,1.0296,1.456,2.769,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9.398611111,0,-8,16,30,3600,Eugenio Suarez,CIN,ARI,2.1,3B,1.435,0.9,0.4025,1.804,2.8584,1.7554,1.1515,2.0292,1.7688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8.518833333,0,-1,31,5,3800,Billy Hamilton,CIN,ARI,2.3,OF,1.35,1.272,0.9856,1.7958,1.998,1.7703,0.9853,1.917,1.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9.383722222,0,-12,9,3,5300,Joey Votto,CIN,ARI,1.5,1B,1.1844,1.683,0.5291,2.5641,3.3936,2.2382,1.5015,2.5901,1.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4.205222222,0,-10,13,0,2800,Devin Mesoraco,CIN,ARI,2.3,C,0.54,3.16,1.1739,0,2.5912,2.76,1.4157,1.8375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7.288333333,0,-2,11,3,4700,Adam Duvall,CIN,ARI,1.6,OF,0.5735,0.8892,1.008,1.835,2.92,2.5979,0.7,1.788,1.4464,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4.032777778,0,-8,13,0,3700,Scott Schebler,CIN,ARI,1.8,OF,1.6016,1.3884,0.912,1.6165,2.1318,1.0845,1.1183,2.366,0.6336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6.993111111,0,-9,20,5,3600,Chase Utley,LAD,ATL,2.1,1B/2B,0.4465,0.3894,0.3003,3.0544,3.2604,2.025,0.7031,1.925,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9.304444444,0,-4,11,0,4400,Yasiel Puig,LAD,ATL,1.4,OF,0.9452,1.0008,0.9468,1.8391,2.6248,1.8602,1.0512,1.8688,2.346,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6.270944444,0,-7,20,4,4800,Justin Turner,LAD,ATL,1.5,3B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5.587888889,0,-12,6,21,3900,Yasmani Grandal,LAD,ATL,1.7,C,0.9996,1.4319,1.0146,1.8,2.6523,1.395,1.5582,1.8395,0.9216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5.845333333,0,-9,8,0,4000,Joc Pederson,LAD,ATL,1.6,OF,0.7,1.456,1.45,1.9108,1.68,0.2128,1.5844,1.425,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8.677111111,0,-11,31,5,5400,Cody Bellinger,LAD,ATL,1.4,1B/OF,0.666,1.5,0.681,2.0124,2.618,1.8755,2.9857,1.4884,0.9266,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.11105556,0,-10,36,10,4800,Chris Taylor,LAD,ATL,1.5,2B/OF,1.296,1.3181,1.144,2.4408,3.2832,2.574,1.1172,2.074,1.4352,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9.782666667,0,-9,0,7,5000,Corey Seager,LAD,ATL,1.5,SS,0.9375,0.7807,0.3696,2.7068,2.7404,2.1024,1.6264,2.4992,1.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5.484,0,-10,15,7,3800,Carlos Gomez,TEX,BAL,1.9,OF,1.0323,0.429,0.8018,1.485,2.6358,1.8,1.3818,1.5984,2.4118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.27338889,0,-11,11,2,4400,Elvis Andrus,TEX,BAL,1.9,SS,0.8938,2.555,2.1896,1.4398,2.5575,2.3023,1.7261,1.7236,1.3356,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
