"","RFPred","Name","HTeam","Pos","Actual","H","SB","HR","HRSplit","HSplit"
"64597",9.70926666666667,"Nick Williams","PHI","RF",2,1.25,0,0,0,0.727272727272727
"64599",8.08156666666667,"Cesar Hernandez","PHI","2B",19,0.6,0,1,0.5,0.733333333333333
"64601",3.6886,"Andrew Knapp","PHI","C",5,0.5,0,0,0,0.6
"64602",5.00466666666667,"Odubel Herrera","PHI","CF",3,1.4,0,1,0.5,0.789473684210526
"64603",2.00043333333333,"Maikel Franco","PHI","3B",9,0.25,0,0,0.333333333333333,0.6
"64607",9.55696666666667,"Rhys Hoskins","PHI","LF",8,0.6,1,0,0,0.625
"64608",8.44673333333333,"Carlos Santana","PHI","1B",4,0.4,0,0,0,0.444444444444444
"64609",4.9292,"Jose Iglesias","DET","SS",6,1,0,0,0,0.4
"64610",6.21323333333333,"Victor Martinez","DET","DH",21,1.5,0,0,0,0.727272727272727
"64611",5.98456666666667,"James McCann","DET","C",3,2,0,1,0,0.666666666666667
"64612",5.00343333333333,"Miguel Cabrera","DET","1B",4,1.5,0,0,0.666666666666667,0.8125
"64615",1.96076666666667,"Niko Goodrum","DET","UT",2,0,0,0,0.5,0.875
"64616",4.81573333333333,"Jeimer Candelario","DET","3B",14,0.5,0,1,0,0.846153846153846
"64617",3.7787,"Dixon Machado","DET","2B",0,1,0,0,0,0.857142857142857
"64618",2.69303333333333,"Leonys Martin","DET","CF",8,1.5,0,0,0,0.909090909090909
"64619",8.72183333333334,"Nicholas Castellanos","DET","RF",6,2,0,0,0,0.85
"64620",5.75743333333333,"Jefry Marte","LAA","1B",3,0.666666666666667,0,0,0,0.416666666666667
"64622",6.3843,"Albert Pujols","LAA","1B",3,1.25,0,1,0.333333333333333,0.19047619047619
"64623",5.57856666666667,"Martin Maldonado","LAA","C",4,0,0,0,0,0.454545454545455
"64624",4.22673333333333,"Andrelton Simmons","LAA","SS",4,0.5,1,0,0.5,0.181818181818182
"64625",6.06273333333333,"Kole Calhoun","LAA","RF",0,1.25,0,0,0,0.3125
"64626",9.64906666666666,"Zack Cozart","LAA","3B",2,1.33333333333333,0,0,0,0.210526315789474
"64627",8.93643333333333,"Mike Trout","LAA","CF",7,1.25,0,2,0.166666666666667,0.166666666666667
"64629",9.8345,"Ian Kinsler","LAA","2B",0,2,2,0,0,0
"64630",7.25473333333333,"Justin Upton","LAA","LF",3,1.75,2,1,0,0.1
"64633",6.49556666666667,"Yadier Molina","STL","C",5,1.5,0,2,0.6,0.611111111111111
"64634",4.11463333333333,"Greg Garcia","STL","IF",5,1,0,2,0,0.142857142857143
"64635",6.10483333333334,"Dexter Fowler","STL","RF",8,1.25,0,1,0.666666666666667,0.692307692307692
"64637",8.01256666666667,"Paul DeJong","STL","SS",15,0.2,0,1,0.6,0.666666666666667
"64638",9.78516666666666,"Marcell Ozuna","STL","LF",2,1,0,1,0.333333333333333,0.8
"64639",9.14376666666666,"Tommy Pham","STL","CF",9,2,3,1,0.666666666666667,0.65
"64641",7.21313333333333,"Matt Carpenter","STL","3B",11,0.25,0,0,0,0.444444444444444
"64642",6.21553333333333,"Jose Martinez","STL","1B",2,1.8,0,1,0.333333333333333,0.428571428571429
"64643",11.1127333333333,"Matt Olson","OAK","1B",5,0.8,0,1,0.666666666666667,0.6875
"64644",8.86683333333333,"Matthew Joyce","OAK","LF",10,0.6,0,0,0.333333333333333,0.5
"64645",11.1017666666667,"Jed Lowrie","OAK","2B",18,1.8,0,2,0.8,0.56
"64646",6.8183,"Stephen Piscotty","OAK","RF",14,1.6,0,1,0,0.529411764705882
"64647",8.97983333333334,"Jonathan Lucroy","OAK","C",11,1,0,0,0,0.666666666666667
"64648",7.18656666666667,"Mark Canha","OAK","CF",18,1,0,1,0,0.4
"64649",8.75596666666667,"Marcus Semien","OAK","SS",0,1.2,0,0,0.5,0.65
"64650",6.20103333333334,"Khris Davis","OAK","DH",10,1.6,0,4,0.6,0.833333333333333
"64652",6.16826666666667,"Matt Chapman","OAK","3B",10,1,0,2,0.666666666666667,0.523809523809524
"64653",7.375,"Domingo Santana","MIL","RF",0,1,0,0,0,0.222222222222222
"64654",9.28793333333334,"Travis Shaw","MIL","3B",5,1,0,1,0,0.142857142857143
"64655",6,"Jacob Nottingham","MIL","C",0,0,0,0,0,0
"64657",12.1808,"Ryan Braun","MIL","LF",9,0.5,2,1,0,0.181818181818182
"64659",7.51436666666667,"Orlando Arcia","MIL","SS",6,0.833333333333333,0,2,0,0.166666666666667
"64660",2.3882,"Eric Sogard","MIL","MI",3,0.166666666666667,0,0,0,0
"64661",6.1282,"Lorenzo Cain","MIL","CF",7,0.8,1,0,0,0.277777777777778
"64662",7.10466666666666,"Eric Thames","MIL","1B",15,0.4,0,1,0,0
"64663",7.95353333333333,"Joe Mauer","MIN","1B",4,1.5,0,0,0,0.533333333333333
"64664",9.6923,"Logan Morrison","MIN","DH",2,0.5,0,0,0,0.25
"64665",9.23153333333333,"Eddie Rosario","MIN","LF",3,1,0,0,0,0.444444444444444
"64666",4.76866666666667,"Eduardo Escobar","MIN","3B",0,0.5,1,0,0,0.636363636363636
"64667",10.1972333333333,"Brian Dozier","MIN","2B",9,1,0,0,0.4,0.5
"64668",5.89943333333333,"Max Kepler","MIN","RF",10,1,0,2,0,0.5
"64669",8.25233333333333,"Miguel Sano","MIN","3B",3,1,0,0,0,0.636363636363636
"64670",7.914,"Robbie Grossman","MIN","RF",0,NA,0,0,0,0
"64671",9.15033333333333,"Jason Castro","MIN","C",3,0.5,0,0,0,0.6
"64672",7.57903333333333,"Corey Dickerson","PIT","LF",0,1.4,1,0,0.5,0.80952380952381
"64673",5.8615,"Jordy Mercer","PIT","SS",9,0.166666666666667,0,0,0,0.666666666666667
"64674",2.392,"Sean Rodriguez","PIT","UT",0,0.333333333333333,0,1,0,0.25
"64675",2.8784,"Colin Moran","PIT","3B",3,0.5,0,0,0,0.733333333333333
"64676",7.84936666666667,"Starling Marte","PIT","CF",5,1.5,3,1,0.6,0.727272727272727
"64677",6.64956666666667,"Francisco Cervelli","PIT","C",0,1.4,0,1,0.666666666666667,0.8125
"64679",5.4539,"Josh Bell","PIT","1B",0,0.833333333333333,0,0,0.5,0.727272727272727
"64680",5.10086666666666,"Gregory Polanco","PIT","RF",2,0.5,0,2,0.8,0.785714285714286
"64681",0.786266666666667,"Luis Sardinas","BAL","2B",2,NA,0,0,0,0
"64683",6.87466666666667,"Adam Jones","BAL","CF",6,0.5,0,0,0,0.333333333333333
"64684",5.4526,"Danny Valencia","BAL","UT",2,0.333333333333333,0,0,0.5,0.5
