"","RFPred","Name","HTeam","Pos","Actual","H","SB","HR","HRSplitL30","HSplitL30","HRSplit","HSplit"
"65237",7.58376666666667,"Buster Posey","SFG","C",3,1.11111111111111,1,2,0,0.294117647058824,0.263157894736842,0.673684210526316
"65239",4.29606666666667,"Brandon Crawford","SFG","SS",0,0.888888888888889,0,0,0.5,0.571428571428571,0.875,0.830065359477124
"65240",4.427,"Andrew McCutchen","SFG","RF",6,1.2,3,2,0,0.0666666666666667,0.5,0.647058823529412
"65241",5.23136666666667,"Joe Panik","SFG","2B",3,1.125,0,0,0,0.277777777777778,0.6875,0.710227272727273
"65242",9.33106666666666,"Evan Longoria","SFG","3B",0,1.3,1,2,0,0,0.625,0.718592964824121
"65243",8.08476666666666,"Brandon Belt","SFG","1B",15,0.625,0,1,0.333333333333333,0.5,0.681818181818182,0.778846153846154
"65244",5.1678,"Gorkys Hernandez","SFG","UT",0,0.375,1,0,0.5,0.428571428571429,0.5,0.684782608695652
"65245",9.41956666666667,"Gregor Blanco","SFG","OF",5,0.714285714285714,0,0,0,0.5,0.75,0.774647887323944
"65248",15.7874666666667,"Jay Bruce","NYM","RF",0,0.583333333333333,0,1,0.5,0.916666666666667,0.807692307692308,0.767080745341615
"65249",6.16953333333333,"Jose Lobaton","NYM","C",4,0.166666666666667,0,0,0,0.5,0.8,0.59375
"65250",8.72293333333333,"Yoenis Cespedes","NYM","LF",0,0.833333333333333,0,2,0.75,0.9375,0.681818181818182,0.771428571428571
"65254",10.9862333333333,"Todd Frazier","NYM","3B",15,1,1,2,0.666666666666667,0.882352941176471,0.716417910447761,0.773279352226721
"65255",8.19366666666667,"Adrian Gonzalez","NYM","1B",18,0.555555555555556,0,1,0.5,0.8,0.8,0.819444444444444
"65256",8.3701,"Amed Rosario","NYM","SS",5,0.636363636363636,0,0,0,0.923076923076923,0.714285714285714,0.793650793650794
"65257",9.94703333333334,"Michael Conforto","NYM","CF",2,0.75,0,0,0,0.8,0.821428571428571,0.832
"65258",10.0975333333333,"Asdrubal Cabrera","NYM","2B",3,1.41666666666667,0,4,0.8,0.916666666666667,0.818181818181818,0.797752808988764
"65259",8.9584,"Miguel Cabrera","DET","1B",12,0.888888888888889,0,1,0.5,0.722222222222222,0.652173913043478,0.733333333333333
"65261",2.9938,"Leonys Martin","DET","CF",33,1,1,0,0,0.923076923076923,0.857142857142857,0.761904761904762
