"","RFPred","Name","HTeam","Pos","Actual"
"68627",5.30866666666667,"Max Muncy","LAD","3B",2
"68628",7.35423333333333,"Chris Taylor","LAD","CF",8
"68629",4.9981,"Yasmani Grandal","LAD","C",6
"68630",6.10636666666667,"Matt Kemp","LAD","LF",0
"68631",3.32936666666667,"Alex Verdugo","LAD","OF",6
"68633",8.1492,"Cody Bellinger","LAD","1B",15
"68634",4.1645,"Chase Utley","LAD","2B",4
"68636",5.55056666666667,"Joc Pederson","LAD","OF",6
"68637",5.62926666666667,"Amed Rosario","NYM","SS",0
"68638",4.63886666666667,"Michael Conforto","NYM","CF",0
"68639",5.4622,"Yoenis Cespedes","NYM","LF",21
"68641",5.60766666666667,"Asdrubal Cabrera","NYM","2B",3
"68642",8.3578,"Jay Bruce","NYM","RF",3
"68644",5.7698,"Adrian Gonzalez","NYM","1B",5
"68645",1.5732,"Tomas Nido","NYM","C",6
"68647",7.6228,"Todd Frazier","NYM","3B",8
"68650",12.4191333333333,"Justin Upton","LAA","LF",3
"68651",10.4906,"Kole Calhoun","LAA","RF",3
"68652",6.62736666666667,"Luis Valbuena","LAA","3B",15
"68653",15.6881,"Mike Trout","LAA","CF",8
"68654",10.1140333333333,"Albert Pujols","LAA","1B",0
"68655",8.40743333333333,"Andrelton Simmons","LAA","SS",8
"68656",11.3942,"Ian Kinsler","LAA","2B",9
"68657",6.2523,"Martin Maldonado","LAA","C",12
"68658",11.3204,"Shohei Ohtani","LAA","DH",6
"68659",3.42983333333333,"Abraham Almonte","KCR","CF",2
"68660",9.1048,"Whit Merrifield","KCR","2B",7
"68662",6.074,"Cheslor Cuthbert","KCR","DH",2
"68665",5.33746666666666,"Jon Jay","KCR","LF",14
"68666",3.35333333333333,"Alex Gordon","KCR","OF",20
"68667",10.0824666666667,"Salvador Perez","KCR","C",13
"68668",7.88756666666667,"Jorge Soler","KCR","RF",23
"68669",9.93616666666666,"Lucas Duda","KCR","1B",8
"68670",9.85003333333334,"Alcides Escobar","KCR","SS",0
"68671",4.2244,"Trevor Story","COL","SS",0
"68672",2.4126,"Tony Wolters","COL","C",0
"68674",7.67586666666667,"Carlos Gonzalez","COL","RF",0
"68675",7.08146666666667,"Charlie Blackmon","COL","CF",24
"68676",10.2557,"Nolan Arenado","COL","3B",15
"68677",4.7031,"David Dahl","COL","OF",15
"68679",4.70283333333333,"Ian Desmond","COL","1B",0
"68680",8.397,"Yadier Molina","STL","C",6
"68682",8.59449999999999,"Tommy Pham","STL","CF",15
"68684",8.31123333333333,"Paul DeJong","STL","SS",2
"68685",10.6267,"Jose Martinez","STL","1B",0
"68686",8.57426666666666,"Matt Carpenter","STL","3B",21
"68687",8.2259,"Dexter Fowler","STL","RF",0
"68688",8.39066666666666,"Marcell Ozuna","STL","LF",13
"68690",6.65666666666667,"Kolten Wong","STL","2B",3
"68691",4.1583,"Jesus Aguilar","MIL","1B",15
"68692",7.62666666666667,"Orlando Arcia","MIL","SS",11
"68693",5.72176666666667,"Jonathan Villar","MIL","2B",11
"68695",6.69946666666667,"Manny Pina","MIL","C",4
"68696",11.0898,"Lorenzo Cain","MIL","CF",0
"68698",8.3458,"Ryan Braun","MIL","LF",6
"68699",6.41456666666667,"Christian Yelich","MIL","LF",9
"68700",7.8209,"Travis Shaw","MIL","3B",15
"68701",3.87426666666667,"Jurickson Profar","TEX","SS",14
"68702",2.88246666666667,"Isiah KinerFalefa","TEX","2B",27
"68703",3.89493333333333,"Drew Robinson","TEX","UT",5
"68705",4.80833333333333,"Robinson Chirinos","TEX","C",3
"68706",5.62003333333333,"Ronald Guzman","TEX","1B",0
"68707",5.69343333333333,"Nomar Mazara","TEX","RF",15
"68708",4.63443333333333,"Joey Gallo","TEX","1B",18
