RFPred,Name,HTeam,Pos
11.86811111,A.J. Pollock,ARI,CF
9.864944444,Jake Lamb,ARI,3B
8.788944444,Nick Ahmed,ARI,SS
8.263777778,Paul Goldschmidt,ARI,1B
6.607333333,Daniel Descalso,ARI,3B
6.411666667,Steven Souza,ARI,RF
6.317777778,David Peralta,ARI,LF
5.900888889,Chris Owings,ARI,RF
5.200388889,Jarrod Dyson,ARI,RF
5.089277778,Deven Marrero,ARI,3B
3.671444444,Alex Avila,ARI,C
3.084055556,Ketel Marte,ARI,2B
2.524388889,John Ryan Murphy,ARI,C
2.373722222,Jeff Mathis,ARI,C
2.222444444,Christian Walker,ARI,1B
12.02133333,Ozzie Albies,ATL,2B
10.57705556,Kurt Suzuki,ATL,C
10.15338889,Ender Inciarte,ATL,CF
8.164777778,Freddie Freeman,ATL,1B
7.208222222,Nick Markakis,ATL,RF
7.045944444,Ronald Acuna,ATL,LF
5.865833333,Jose Bautista,ATL,UT
5.780444444,Tyler Flowers,ATL,C
5.199166667,Dansby Swanson,ATL,SS
4.522944444,Preston Tucker,ATL,LF
4.479944444,Johan Camargo,ATL,IF
4.254555556,Ryan Flaherty,ATL,3B
3.504333333,Charlie Culberson,ATL,IF
3.143444444,Chris Stewart,ATL,C
2.054611111,Lane Adams,ATL,OF
1.374277778,Peter Bourjos,ATL,OF
1.098666667,Carlos Perez,ATL,C
9.179722222,Pedro Alvarez,BAL,DH
8.521666667,Jonathan Schoop,BAL,2B
7.885111111,Adam Jones,BAL,CF
7.242611111,Trey Mancini,BAL,LF
7.205333333,Manny Machado,BAL,SS
7.040777778,Mark Trumbo,BAL,UT
6.625555556,Tim Beckham,BAL,3B
6.582,Chris Davis,BAL,1B
6.223277778,Colby Rasmus,BAL,UT
5.424666667,Chance Sisco,BAL,C
5.252777778,Danny Valencia,BAL,UT
4.329222222,Jace Peterson,BAL,OF
4.169,Joey Rickard,BAL,OF
3.8975,Jace Peterson,BAL,OF
2.842833333,Anthony Santander,BAL,RF
2.472666667,Caleb Joseph,BAL,C
2.31,Engelb Vielma,BAL,MI
2.304666667,Craig Gentry,BAL,OF
1.347111111,Luis Sardinas,BAL,2B
15.894,Mookie Betts,BOS,RF
11.57722222,Eduardo Nunez,BOS,2B
9.856111111,Mitch Moreland,BOS,1B
8.6795,Rafael Devers,BOS,3B
8.6195,J.D. Martinez,BOS,DH
7.722333333,Andrew Benintendi,BOS,LF
6.089166667,Sandy Leon,BOS,C
6.0725,Brock Holt,BOS,UT
5.999666667,Hanley Ramirez,BOS,UT
5.162833333,Jackie Bradley,BOS,CF
4.003111111,Xander Bogaerts,BOS,SS
3.543611111,Christian Vazquez,BOS,C
1.864666667,Blake Swihart,BOS,UT
1.795111111,TzuWei Lin,BOS,MI
9.246944444,Adam Duvall,CIN,LF
9.024333333,Joey Votto,CIN,1B
8.560333333,Scooter Gennett,CIN,2B
7.700333333,Billy Hamilton,CIN,CF
7.300277778,Eugenio Suarez,CIN,3B
7.004055556,Scott Schebler,CIN,OF
5.492388889,Jesse Winker,CIN,RF
5.459888889,Jose Peraza,CIN,SS
5.436166667,Devin Mesoraco,CIN,C
4.475944444,Tucker Barnhart,CIN,C
4.390277778,Alex Blandino,CIN,IF
4.129777778,Cliff Pennington,CIN,IF
1.629444444,Phil Ervin,CIN,OF
1.494,Philip Gosselin,CIN,UT
0.71,Rosell Herrera,CIN,UT
0,Tony Cruz,CIN,C
10.17444444,Charlie Blackmon,COL,CF
8.618111111,Nolan Arenado,COL,3B
8.363722222,Trevor Story,COL,SS
6.066277778,Ian Desmond,COL,1B
5.379277778,Carlos Gonzalez,COL,RF
5.220111111,DJ LeMahieu,COL,2B
5.083388889,David Dahl,COL,OF
4.99,Chris Iannetta,COL,C
3.204,Noel Cuevas,COL,OF
3.202666667,Pat Valaika,COL,IF
2.813888889,Mike Tauchman,COL,OF
2.760611111,Gerardo Parra,COL,LF
2.138555556,Tony Wolters,COL,C
1.408333333,Daniel Castro,COL,2B
1.304444444,Ryan McMahon,COL,CI
13.27305556,Alex Gordon,KCR,OF
10.5565,Whit Merrifield,KCR,2B
9.585277778,Jorge Soler,KCR,RF
9.151,Salvador Perez,KCR,UT
8.586611111,Lucas Duda,KCR,1B
6.6745,Mike Moustakas,KCR,3B
5.646777778,Abraham Almonte,KCR,CF
4.802333333,Alcides Escobar,KCR,SS
4.626333333,Ryan Goins,KCR,2B
4.562888889,Jon Jay,KCR,LF
4.367611111,Cheslor Cuthbert,KCR,DH
3.289166667,Drew Butera,KCR,C
1.969055556,Paulo Orlando,KCR,UT
1.508388889,Cam Gallagher,KCR,UT
15.18077778,Zack Cozart,LAA,IF
14.52344444,Mike Trout,LAA,CF
11.67694444,Justin Upton,LAA,LF
9.040833333,Ian Kinsler,LAA,2B
8.171555556,Rene Rivera,LAA,C
7.3665,Kole Calhoun,LAA,RF
7.059111111,Chris Young,LAA,UT
6.271166667,Andrelton Simmons,LAA,SS
5.711555556,Albert Pujols,LAA,1B
5.542611111,Shohei Ohtani,LAA,DH
5.385888889,Jefry Marte,LAA,CI
4.726166667,Martin Maldonado,LAA,C
4.073388889,Luis Valbuena,LAA,3B
4.019277778,Ryan Schimpf,LAA,UT
2.714444444,Jabari Blash,LAA,RF
1.673833333,Juan Graterol,LAA,C
1.227555556,Nolan Fontana,LAA,2B
10.99044444,Chris Taylor,LAD,CF
7.482666667,Enrique Hernandez,LAD,UT
7.367333333,Yasmani Grandal,LAD,C
7.024944444,Corey Seager,LAD,SS
6.592611111,Cody Bellinger,LAD,1B
6.056388889,Yasiel Puig,LAD,RF
5.754833333,Austin Barnes,LAD,UT
5.7045,Matt Kemp,LAD,LF
5.021944444,Logan Forsythe,LAD,IF
4.553222222,Chase Utley,LAD,2B
4.380944444,Joc Pederson,LAD,OF
3.026,Max Muncy,LAD,UT
2.769333333,Alex Verdugo,LAD,OF
2.623611111,Tim Locastro,LAD,CF
2.038611111,Kyle Farmer,LAD,3B
0.691722222,Breyvic Valera,LAD,UT
9.511277778,Justin Bour,MIA,1B
8.638666667,Miguel Rojas,MIA,SS
6.762777778,Brian Anderson,MIA,3B
6.176944444,Cameron Maybin,MIA,RF
5.821722222,Derek Dietrich,MIA,LF
5.203388889,J.T. Realmuto,MIA,C
5.1155,Garrett Cooper,MIA,UT
4.399722222,Starlin Castro,MIA,2B
3.664,Bryan Holaday,MIA,C
2.768222222,JB Shuck,MIA,OF
2.648222222,Martin Prado,MIA,3B
1.752444444,Lewis Brinson,MIA,CF
1.076888889,Tomas Telis,MIA,UT
1.029777778,Chad Wallach,MIA,C
0.685444444,Yadiel Rivera,MIA,MI
0.383611111,Braxton Lee,MIA,OF
7.051444444,Travis Shaw,MIL,3B
6.785277778,Lorenzo Cain,MIL,CF
6.6595,Domingo Santana,MIL,RF
6.116277778,Ryan Braun,MIL,UT
5.110111111,Christian Yelich,MIL,LF
5.061222222,Nick Franklin,MIL,2B
4.492277778,Eric Thames,MIL,1B
3.938444444,Jonathan Villar,MIL,2B
3.781666667,Orlando Arcia,MIL,SS
3.536833333,Hernan Perez,MIL,UT
