,RFPred,Name,HTeam,Pos,Actual,H,SB,HR,HRSplitL30,HSplitL30,HRSplit,HSplit
71635,11.2709,Nick Ahmed,ARI,SS,0,1.083333333,0,2,0.666666667,0.722222222,0.75,0.671232877
71637,10.43076667,David Peralta,ARI,LF,18,0.909090909,0,3,0.8,0.8,0.80952381,0.826530612
71636,8.211933333,Paul Goldschmidt,ARI,1B,3,0.416666667,0,0,0,0.545454545,0.795454545,0.746478873
71638,8.117333333,Daniel Descalso,ARI,3B,0,1.166666667,0,1,0.5,0.761904762,0.5,0.853211009
71640,7.454666667,Ketel Marte,ARI,2B,11,0.636363636,1,0,0.5,0.764705882,0.75,0.787234043
71639,6.2859,Alex Avila,ARI,C,0,0.2,0,0,0.333333333,0.625,0.891891892,0.845360825
71641,4.9711,Jarrod Dyson,ARI,OF,3,0.25,3,0,0.666666667,0.8,0.875,0.841121495
71642,4.5169,Chris Owings,ARI,RF,0,0.5,0,1,0,0.5,0.866666667,0.701612903
71489,13.2752,Ender Inciarte,ATL,CF,0,1,7,1,0,0.625,0.777777778,0.828467153
71494,12.71543333,Ozzie Albies,ATL,2B,24,1.25,3,3,0.5,0.727272727,0.736842105,0.804878049
71490,10.48473333,Ronald Acuna,ATL,LF,0,1.083333333,1,2,0,0.444444444,0,0.444444444
71493,10.03313333,Kurt Suzuki,ATL,C,0,0.875,0,1,0.6,0.625,0.928571429,0.798245614
71491,9.6027,Nick Markakis,ATL,RF,11,1.666666667,0,4,0.5,0.641025641,0.5,0.801762115
71487,8.779233333,Freddie Freeman,ATL,1B,2,1.333333333,1,2,0.8,0.628571429,0.918918919,0.776119403
71495,7.0408,Johan Camargo,ATL,IF,2,0.6,0,2,0.333333333,0.5,0.571428571,0.755555556
71496,4.831,Ryan Flaherty,ATL,3B,5,1,0,1,0.333333333,0.647058824,0.333333333,0.837837838
71607,7.483033333,Jonathan Schoop,BAL,2B,6,1.333333333,0,0,0,0.142857143,0.735294118,0.696682464
71602,6.9539,Chance Sisco,BAL,C,20,0.166666667,0,0,0.5,0.666666667,0.75,0.823529412
71610,6.7733,Adam Jones,BAL,CF,5,1,0,2,0.75,0.777777778,0.78125,0.752336449
71600,6.400433333,Trey Mancini,BAL,LF,5,1,0,2,0.25,0.52,0.75862069,0.673076923
71605,6.160633333,Mark Trumbo,BAL,UT,15,1.333333333,0,0,0,0.538461538,0.5,0.668918919
71603,5.8567,Manny Machado,BAL,SS,30,1.25,1,2,0.875,0.65625,0.80952381,0.725581395
71604,4.895266667,Chris Davis,BAL,1B,6,0.6,0,2,0.25,0.647058824,0.733333333,0.708661417
71608,2.474033333,Anthony Santander,BAL,RF,4,0.636363636,0,0,0,0.642857143,0,0.642857143
71628,13.62933333,Mookie Betts,BOS,RF,9,1.3,1,5,0.416666667,0.48,0.714285714,0.706140351
71627,9.620066667,J.D. Martinez,BOS,DH,6,1.75,0,3,0.428571429,0.631578947,0.681415929,0.689552239
71624,8.414733333,Andrew Benintendi,BOS,LF,10,1.090909091,0,1,0.666666667,0.72,0.785714286,0.769230769
71625,8.2402,Eduardo Nunez,BOS,2B,3,0.833333333,1,1,0.666666667,0.727272727,0.857142857,0.70487106
71622,7.8056,Sandy Leon,BOS,C,0,0.8,1,1,0,0.571428571,0.625,0.759493671
71630,7.5402,Hanley Ramirez,BOS,UT,2,0.909090909,0,1,0.666666667,0.652173913,0.65625,0.722543353
71632,6.420133333,Xander Bogaerts,BOS,SS,17,1.272727273,0,1,0.5,0.533333333,0.75,0.796116505
71623,5.682833333,Mitch Moreland,BOS,1B,5,1.571428571,1,4,0.571428571,0.56,0.806451613,0.817647059
71626,5.314766667,Brock Holt,BOS,UT,5,0,0,0,0,0.588235294,0,0.632653061
71396,9.675833333,Ian Happ,CHC,OF,3,0.545454545,0,2,0.25,0.625,0.620689655,0.706896552
71389,9.418033333,Kris Bryant,CHC,3B,28,1,0,4,0.4,0.555555556,0.675675676,0.702439024
71395,8.919733333,Willson Contreras,CHC,C,42,0.7,0,0,0.5,0.75,0.68,0.724137931
71393,8.6184,Anthony Rizzo,CHC,1B,11,1.090909091,0,4,0.6,0.8,0.675675676,0.718918919
71397,7.688166667,Javier Baez,CHC,2B,0,1,2,3,0.714285714,0.8,0.638888889,0.702247191
71390,5.858,Addison Russell,CHC,SS,4,1.181818182,0,1,0.5,0.666666667,0.571428571,0.594827586
71392,5.4786,Ben Zobrist,CHC,UT,16,0.8,0,0,0,0.416666667,0.857142857,0.732283465
71394,4.291933333,Kyle Schwarber,CHC,LF,7,0.75,0,0,0.833333333,0.95,0.871794872,0.859504132
71380,11.48143333,Tim Anderson,CHW,SS,4,1,2,5,0.333333333,0.5,0.576923077,0.653061224
71377,8.257666667,Leury Garcia,CHW,UT,0,1.307692308,3,1,0.5,0.6,0.916666667,0.696428571
71384,8.219666667,Jose Abreu,CHW,1B,10,0.857142857,1,1,0.8,0.76,0.772727273,0.721991701
71381,8.212566667,Welington Castillo,CHW,C,0,0.857142857,0,2,0.75,0.666666667,0.551724138,0.60483871
71386,6.071733333,Yolmer Sanchez,CHW,3B,3,1.307692308,0,0,0,0.709677419,0.75,0.78021978
71379,5.860633333,Matt Davidson,CHW,DH,4,1.076923077,0,2,0.4,0.695652174,0.705882353,0.6875
71383,5.2349,Nick Delmonico,CHW,LF,2,0.692307692,0,0,0,0.764705882,0.866666667,0.794117647
71382,5.097733333,Daniel Palka,CHW,UT,9,1.5,1,4,0.6,0.6875,0.6,0.6875
71481,11.32936667,Scooter Gennett,CIN,2B,26,1.083333333,0,3,0.5,0.821428571,0.823529412,0.854054054
71485,8.772533333,Billy Hamilton,CIN,CF,0,0.916666667,0,1,0.333333333,0.7,0.714285714,0.790697674
71478,8.309533333,Eugenio Suarez,CIN,3B,3,1.230769231,0,3,0.5,0.588235294,0.78125,0.748502994
71483,8.106066667,Joey Votto,CIN,1B,11,1.153846154,0,2,0.666666667,0.814814815,0.581395349,0.795652174
71480,6.1697,Scott Schebler,CIN,RF,2,0.769230769,0,1,0.666666667,0.764705882,0.794117647,0.764705882
71482,5.492033333,Jose Peraza,CIN,SS,13,1.307692308,2,2,0.666666667,0.818181818,0.571428571,0.755813953
71476,5.390266667,Jesse Winker,CIN,RF,10,0.666666667,0,0,0,0.904761905,0.857142857,0.895522388
71479,4.8419,Tucker Barnhart,CIN,C,11,1,0,0,0.5,0.65,0.727272727,0.859259259
71458,9.944,Jose Ramirez,CLE,3B,18,1.307692308,4,3,0.666666667,0.588235294,0.734693878,0.601449275
71457,8.1205,Yonder Alonso,CLE,1B,21,0.642857143,0,2,0.571428571,0.714285714,0.833333333,0.857605178
71456,7.697833333,Edwin Encarnacion,CLE,DH,3,1.272727273,0,4,0.285714286,0.416666667,0.666666667,0.652173913
71462,7.337233333,Jason Kipnis,CLE,2B,4,0.857142857,0,1,0,0.5,0.647058824,0.612403101
71463,6.3956,Roberto Perez,CLE,C,6,0.428571429,0,0,0,0.666666667,0.333333333,0.409836066
71455,6.2348,Michael Brantley,CLE,LF,20,1.428571429,0,2,0.5,0.6,0.615384615,0.685897436
71460,4.8351,Francisco Lindor,CLE,SS,9,2,0,9,0.538461538,0.525,0.519230769,0.562264151
71459,1.4571,Greg Allen,CLE,OF,0,0,0,0,0,0,0.5,0.666666667
71505,11.8262,Charlie Blackmon,COL,CF,24,0.833333333,2,3,0.25,0.25,0.18,0.239852399
71502,9.840733333,Trevor Story,COL,SS,13,0.666666667,2,2,0.333333333,0.285714286,0.228571429,0.245283019
71506,9.284966667,Chris Iannetta,COL,C,15,0.5,0,1,0,0.25,0.333333333,0.356321839
71504,9.022466667,Nolan Arenado,COL,3B,5,1,0,4,0,0.181818182,0.255319149,0.227272727
71497,8.6464,Carlos Gonzalez,COL,RF,20,0.5,0,0,0,0.222222222,0.142857143,0.224358974
71499,8.627866667,Ian Desmond,COL,1B,8,0.636363636,1,2,0.5,0.333333333,0.357142857,0.246031746
71501,8.1729,DJ LeMahieu,COL,2B,9,1.333333333,0,0,0,0.157894737,0.384615385,0.242677824
71498,3.4396,Gerardo Parra,COL,LF,19,0.916666667,1,0,0,0.263157895,0.090909091,0.171974522
71612,11.14886667,Josh Reddick,HOU,RF,2,0.5,0,0,0.25,0.266666667,0.130434783,0.141463415
71618,11.05186667,Jose Altuve,HOU,2B,0,1.416666667,1,1,0,0.323529412,0.185185185,0.264808362
71611,9.287766667,Carlos Correa,HOU,SS,4,0.909090909,0,1,0,0.285714286,0.34375,0.35078534
71616,8.876233333,Yuli Gurriel,HOU,1B,0,1.25,0,0,0,0.333333333,0.19047619,0.273170732
71621,8.0122,Alex Bregman,HOU,3B,4,0.833333333,1,2,0.333333333,0.32,0.185185185,0.334883721
71620,7.433533333,Marwin Gonzalez,HOU,LF,5,1.2,0,2,0.333333333,0.52,0.185185185,0.265957447
71619,6.618466667,Brian McCann,HOU,C,0,0.555555556,0,0,0.666666667,0.307692308,0.380952381,0.263157895
71614,5.4163,Evan Gattis,HOU,DH,3,0.333333333,0,0,0,0.4,0.333333333,0.304761905
71425,12.41506667,Jorge Soler,KCR,RF,5,1.4375,1,3,0.333333333,0.552631579,0.444444444,0.610169492
71426,9.8595,Salvador Perez,KCR,C,17,1.1875,1,3,0.5,0.739130435,0.714285714,0.7875
71431,8.759433333,Alex Gordon,KCR,OF,2,1.466666667,1,3,0.25,0.692307692,0.785714286,0.789855072
71430,7.313966667,Whit Merrifield,KCR,2B,13,1.066666667,8,0,0.2,0.484848485,0.5,0.693877551
71427,6.325666667,Mike Moustakas,KCR,3B,14,0.875,2,3,0.454545455,0.58974359,0.684210526,0.725663717
71429,6.1878,Jon Jay,KCR,LF,10,1.428571429,0,0,0,0.5,0.333333333,0.687116564
71432,5.297033333,Lucas Duda,KCR,1B,22,0.8125,0,1,0.5,0.689655172,0.753424658,0.782786885
71428,4.431833333,Alcides Escobar,KCR,SS,10,0.875,1,0,0.333333333,0.517241379,0.7,0.758454106
71424,4.297966667,Abraham Almonte,KCR,CF,8,0.375,0,1,0.4,0.705882353,0.625,0.793650794
71516,12.3961,Justin Upton,LAA,LF,17,1.272727273,0,5,0.142857143,0.04,0.011627907,0.034120735
71512,11.8549,Mike Trout,LAA,CF,5,1.454545455,2,2,0.222222222,0.121212121,0.057692308,0.031578947
71510,10.31173333,Ian Kinsler,LAA,2B,6,0.818181818,0,1,0,0,0,0.012738854
71514,9.447033333,Shohei Ohtani,LAA,DH,3,1.125,0,2,0,0,0,0
71509,9.051966667,Andrelton Simmons,LAA,SS,5,1.8,1,0,0,0.111111111,0,0.031390135
71508,7.858433333,Zack Cozart,LAA,3B,0,1.125,0,3,0,0,0.033333333,0.018518519
71513,7.782133333,Kole Calhoun,LAA,RF,13,0.375,1,0,0,0,0,0
71515,6.1466,Martin Maldonado,LAA,C,11,1.285714286,0,1,0.5,0.3,0.058823529,0.033057851
71507,4.976333333,Luis Valbuena,LAA,3B,0,0.888888889,0,1,0,0,0,0
714031,13.82903333,Chris Taylor,LAD,CF,13,1.0625,3,3,0.666666667,0.64516129,0.642857143,0.736585366
714021,13.77546667,Chris Taylor,LAD,CF,13,1.0625,3,3,0.666666667,0.64516129,0.642857143,0.736585366
71403,12.76363333,Chris Taylor,LAD,CF,13,1.0625,3,3,0.666666667,0.64516129,0.642857143,0.736585366
71402,12.5689,Chris Taylor,LAD,CF,13,1.0625,3,3,0.666666667,0.64516129,0.642857143,0.736585366
714011,11.50646667,Yasmani Grandal,LAD,C,2,0.5625,0,1,0.75,0.80952381,0.851851852,0.841059603
71401,11.38006667,Yasmani Grandal,LAD,C,2,0.5625,0,1,0.75,0.80952381,0.851851852,0.841059603
71400,9.1258,Yasmani Grandal,LAD,C,2,0.5625,0,1,0.75,0.80952381,0.851851852,0.841059603
71410,8.9097,Cody Bellinger,LAD,1B,13,1,1,1,0.5,0.870967742,0.75,0.817679558
714101,8.870066667,Cody Bellinger,LAD,1B,13,1,1,1,0.5,0.870967742,0.75,0.817679558
714001,8.7823,Yasmani Grandal,LAD,C,2,0.5625,0,1,0.75,0.80952381,0.851851852,0.841059603
71411,8.555433333,Cody Bellinger,LAD,1B,13,1,1,1,0.5,0.870967742,0.75,0.817679558
714111,8.4388,Cody Bellinger,LAD,1B,13,1,1,1,0.5,0.870967742,0.75,0.817679558
71423,8.416,Joc Pederson,LAD,OF,0,0.933333333,1,0,0.5,0.818181818,0.923076923,0.764705882
71422,8.341066667,Joc Pederson,LAD,OF,0,0.933333333,1,0,0.5,0.818181818,0.923076923,0.764705882
714231,8.035166667,Joc Pederson,LAD,OF,0,0.933333333,1,0,0.5,0.818181818,0.923076923,0.764705882
714221,7.724966667,Joc Pederson,LAD,OF,0,0.933333333,1,0,0.5,0.818181818,0.923076923,0.764705882
71420,7.589,Matt Kemp,LAD,LF,0,1.0625,0,1,0.4,0.62962963,0.814814815,0.788235294
71421,7.1644,Matt Kemp,LAD,LF,0,1.0625,0,1,0.4,0.62962963,0.814814815,0.788235294
71416,7.106133333,Chase Utley,LAD,2B,3,0.8125,0,0,0,0.761904762,0.818181818,0.893203883
714171,7.049066667,Chase Utley,LAD,2B,3,0.8125,0,0,0,0.761904762,0.818181818,0.893203883
71417,6.9906,Chase Utley,LAD,2B,3,0.8125,0,0,0,0.761904762,0.818181818,0.893203883
714201,6.8242,Matt Kemp,LAD,LF,0,1.0625,0,1,0.4,0.62962963,0.814814815,0.788235294
714161,6.5428,Chase Utley,LAD,2B,3,0.8125,0,0,0,0.761904762,0.818181818,0.893203883
714211,6.396733333,Matt Kemp,LAD,LF,0,1.0625,0,1,0.4,0.62962963,0.814814815,0.788235294
714141,5.582566667,Yasiel Puig,LAD,RF,0,0.8,1,0,0,0.5,0.766666667,0.795031056
714151,5.2677,Yasiel Puig,LAD,RF,0,0.8,1,0,0,0.5,0.766666667,0.795031056
71414,5.237366667,Yasiel Puig,LAD,RF,0,0.8,1,0,0,0.5,0.766666667,0.795031056
71415,4.832833333,Yasiel Puig,LAD,RF,0,0.8,1,0,0,0.5,0.766666667,0.795031056
71405,4.582033333,Max Muncy,LAD,CI,21,0.818181818,0,1,0.5,0.75,0.5,0.75
714041,4.578366667,Max Muncy,LAD,CI,21,0.818181818,0,1,0.5,0.75,0.5,0.75
714051,4.575566667,Max Muncy,LAD,CI,21,0.818181818,0,1,0.5,0.75,0.5,0.75
71404,4.549433333,Max Muncy,LAD,CI,21,0.818181818,0,1,0.5,0.75,0.5,0.75
71354,8.022833333,Brian Anderson,MIA,3B,10,1,0,1,0.5,0.652173913,0.333333333,0.637931034
71344,7.477933333,Justin Bour,MIA,1B,4,0.454545455,0,3,0.666666667,0.666666667,0.764705882,0.804195804
71351,6.895633333,Derek Dietrich,MIA,LF,11,0.666666667,0,1,0.333333333,0.705882353,0.833333333,0.780141844
71346,6.780533333,Starlin Castro,MIA,2B,15,0.846153846,0,1,0.5,0.62962963,0.476190476,0.631578947
71352,4.796333333,Martin Prado,MIA,3B,2,0.636363636,0,0,0,0.875,0.666666667,0.790697674
71353,4.455633333,J.T. Realmuto,MIA,C,26,1,1,0,0.25,0.695652174,0.727272727,0.811111111
71350,4.364766667,Miguel Rojas,MIA,SS,11,0.769230769,1,2,0.5,0.818181818,0.571428571,0.784482759
71349,3.6454,Lewis Brinson,MIA,CF,3,0.75,0,2,0.5,0.666666667,0.625,0.678571429
71433,11.10293333,Travis Shaw,MIL,3B,21,0.6,0,2,0.857142857,0.857142857,0.76744186,0.729591837
71441,8.262866667,Ryan Braun,MIL,LF,10,0.454545455,1,0,0.5,0.772727273,0.739130435,0.775510204
71435,7.974533333,Christian Yelich,MIL,LF,10,1.181818182,1,1,0.666666667,0.8,0.666666667,0.791469194
71438,6.396633333,Lorenzo Cain,MIL,CF,18,0.727272727,3,2,0.4,0.739130435,0.714285714,0.748971193
71440,5.6502,Jesus Aguilar,MIL,1B,12,0.666666667,0,1,0.666666667,0.684210526,0.5,0.595959596
71442,5.297233333,Hernan Perez,MIL,UT,13,0.777777778,1,1,0.666666667,0.8,0.736842105,0.692857143
71443,3.538166667,Manny Pina,MIL,C,23,0.5,0,2,0.333333333,0.714285714,0.8,0.629310345
71444,3.461566667,Orlando Arcia,MIL,SS,17,0.7,1,0,0.5,0.777777778,0.818181818,0.770949721
71472,9.036666667,Brian Dozier,MIN,2B,20,0.923076923,0,2,0,0.083333333,0.386363636,0.294117647
71471,6.3418,Joe Mauer,MIN,1B,3,0.916666667,0,1,0,0.1,0.111111111,0.189814815
71475,6.0445,Eduardo Escobar,MIN,3B,2,1.230769231,0,4,0.142857143,0.08,0.275862069,0.263157895
71473,5.836733333,Eddie Rosario,MIN,LF,30,1.615384615,2,5,0,0.129032258,0.081081081,0.232876712
71467,5.510966667,Byron Buxton,MIN,CF,0,0,0,0,0,0,0.238095238,0.288732394
71474,5.473566667,Ehire Adrianza,MIN,SS,0,0.636363636,2,0,0,0.272727273,0.333333333,0.313432836
71470,5.1965,Logan Morrison,MIN,DH,8,1,0,3,0,0.058823529,0.222222222,0.187096774
71464,4.327966667,Robbie Grossman,MIN,RF,6,0.818181818,0,0,0.5,0.333333333,0.153846154,0.240310078
71468,2.7,Bobby Wilson,MIN,C,0,0.5,0,0,0,0,0,0
71554,10.59033333,Brandon Nimmo,NYM,OF,0,0.4,0,0,0.5,0.6,0.875,0.75
71557,9.7446,Yoenis Cespedes,NYM,LF,3,1,3,2,0.6,0.68,0.68,0.745901639
71552,8.304966667,Michael Conforto,NYM,CF,20,0.555555556,0,1,0.5,0.666666667,0.827586207,0.819548872
71553,7.399333333,Wilmer Flores,NYM,CI,3,0.454545455,0,1,0.666666667,0.666666667,0.708333333,0.74796748
71555,6.175,Adrian Gonzalez,NYM,1B,3,1.111111111,0,3,0.6,0.6,0.777777778,0.788235294
71549,5.4403,Asdrubal Cabrera,NYM,2B,11,1.166666667,0,2,0.5,0.689655172,0.791666667,0.777777778
71543,11.05836667,Aaron Judge,NYY,RF,17,1,0,2,0.857142857,0.851851852,0.692307692,0.706161137
71540,10.9437,Didi Gregorius,NYY,SS,0,0.666666667,0,1,0.5,0.5,0.756097561,0.686915888
71541,8.462366667,Neil Walker,NYY,1B,3,0.666666667,0,0,0,0.818181818,0.838709677,0.760683761
71537,8.459266667,Brett Gardner,NYY,LF,11,0.583333333,0,0,0,0.875,0.833333333,0.777777778
71536,7.8739,Gleyber Torres,NYY,2B,15,1.153846154,1,2,0.666666667,0.590909091,0.666666667,0.590909091
71538,7.477066667,Giancarlo Stanton,NYY,DH,3,0.846153846,1,4,0.571428571,0.652173913,0.714285714,0.712328767
