"RFPred","Name","HTeam","Pos","Actual","H","SB","HR","HRSplitL30","HSplitL30","HRSplit","HSplit"
8.68376666666667,"Michael Taylor","WSN","CF",3,0.5,1,1,0.25,0.473684210526316,0.269230769230769,0.302013422818792
10.9366666666667,"Howie Kendrick","WSN","2B",6,1,1,1,0.5,0.307692307692308,0.551724137931034,0.338345864661654
10.0057,"Anthony Rendon","WSN","3B",2,1,0,2,0.666666666666667,0.555555555555556,0.419354838709677,0.324742268041237
1.17706666666667,"Andrew Stevenson","WSN","OF",0,0.4,0,0,0,0,0,0.173913043478261
7.96363333333333,"Matt Adams","WSN","LF",4,1,0,7,0,0.0952380952380952,0.28,0.143459915611814
13.1941,"Bryce Harper","WSN","RF",11,0.769230769230769,1,4,0.285714285714286,0.368421052631579,0.227272727272727,0.242937853107345
3.59646666666667,"Pedro Severino","WSN","C",7,0.857142857142857,0,0,0,0.6,0,0.4
11.3478666666667,"Trea Turner","WSN","SS",9,0.928571428571429,2,3,0.25,0.303030303030303,0.125,0.251533742331288
10.4662,"Justin Bour","MIA","1B",9,0.363636363636364,0,3,0.666666666666667,0.666666666666667,0.764705882352941,0.804195804195804
5.05103333333333,"Martin Prado","MIA","3B",5,0.636363636363636,0,0,0,0.875,0.666666666666667,0.790697674418605
5.268,"Lewis Brinson","MIA","CF",3,0.75,0,2,0.5,0.6875,0.625,0.689655172413793
7.70616666666667,"J.T. Realmuto","MIA","C",6,1.16666666666667,1,1,0.4,0.730769230769231,0.739130434782609,0.814207650273224
6.749,"Brian Anderson","MIA","3B",8,1.07692307692308,1,1,0.5,0.666666666666667,0.333333333333333,0.644067796610169
4.3257,"Derek Dietrich","MIA","LF",6,0.833333333333333,0,1,0.333333333333333,0.75,0.833333333333333,0.784722222222222
6.59293333333333,"Miguel Rojas","MIA","SS",9,1,1,2,0.5,0.84,0.571428571428571,0.789915966386555
7.50406666666667,"Starlin Castro","MIA","2B",10,0.846153846153846,0,2,0.666666666666667,0.642857142857143,0.5,0.633507853403141
4.9439,"Daniel Robertson","TBR","IF",0,0.444444444444444,0,0,0.5,0.684210526315789,0.181818181818182,0.641304347826087
5.30883333333333,"Daniel Robertson","TBR","IF",0,0.444444444444444,0,0,0.5,0.684210526315789,0.181818181818182,0.641304347826087
5.5943,"Daniel Robertson","TBR","IF",10,0.444444444444444,0,0,0.5,0.684210526315789,0.181818181818182,0.641304347826087
5.9161,"Daniel Robertson","TBR","IF",10,0.444444444444444,0,0,0.5,0.684210526315789,0.181818181818182,0.641304347826087
4.77286666666667,"Daniel Robertson","TBR","IF",0,0.444444444444444,0,0,0.5,0.684210526315789,0.181818181818182,0.641304347826087
5.3012,"Daniel Robertson","TBR","IF",0,0.444444444444444,0,0,0.5,0.684210526315789,0.181818181818182,0.641304347826087
5.27596666666667,"Daniel Robertson","TBR","IF",10,0.444444444444444,0,0,0.5,0.684210526315789,0.181818181818182,0.641304347826087
5.73296666666667,"Daniel Robertson","TBR","IF",10,0.444444444444444,0,0,0.5,0.684210526315789,0.181818181818182,0.641304347826087
4.53763333333333,"Daniel Robertson","TBR","IF",0,0.444444444444444,0,0,0.5,0.684210526315789,0.181818181818182,0.641304347826087
5.80313333333333,"Daniel Robertson","TBR","IF",0,0.444444444444444,0,0,0.5,0.684210526315789,0.181818181818182,0.641304347826087
5.081,"Daniel Robertson","TBR","IF",10,0.444444444444444,0,0,0.5,0.684210526315789,0.181818181818182,0.641304347826087
6.4761,"Daniel Robertson","TBR","IF",10,0.444444444444444,0,0,0.5,0.684210526315789,0.181818181818182,0.641304347826087
4.69646666666667,"Daniel Robertson","TBR","IF",0,0.444444444444444,0,0,0.5,0.684210526315789,0.181818181818182,0.641304347826087
4.85906666666667,"Daniel Robertson","TBR","IF",0,0.444444444444444,0,0,0.5,0.684210526315789,0.181818181818182,0.641304347826087
5.317,"Daniel Robertson","TBR","IF",10,0.444444444444444,0,0,0.5,0.684210526315789,0.181818181818182,0.641304347826087
5.42796666666667,"Daniel Robertson","TBR","IF",10,0.444444444444444,0,0,0.5,0.684210526315789,0.181818181818182,0.641304347826087
5.8546,"Johnny Field","TBR","OF",7,1.16666666666667,1,2,0,0.181818181818182,0,0.181818181818182
7.89510000000001,"Johnny Field","TBR","OF",7,1.16666666666667,1,2,0,0.181818181818182,0,0.181818181818182
5.14563333333333,"Johnny Field","TBR","OF",7,1.16666666666667,1,2,0,0.181818181818182,0,0.181818181818182
7.25586666666667,"Johnny Field","TBR","OF",7,1.16666666666667,1,2,0,0.181818181818182,0,0.181818181818182
5.06566666666667,"Matt Duffy","TBR","3B",18,1.5,0,0,0,0.476190476190476,0,0.545454545454545
4.87986666666667,"Matt Duffy","TBR","3B",18,1.5,0,0,0,0.476190476190476,0,0.545454545454545
4.9636,"Matt Duffy","TBR","3B",18,1.5,0,0,0,0.476190476190476,0,0.545454545454545
4.77036666666667,"Matt Duffy","TBR","3B",18,1.5,0,0,0,0.476190476190476,0,0.545454545454545
3.2618,"Adeiny Hechavarria","TBR","SS",0,1,0,0,0.666666666666667,0.318181818181818,0.631578947368421,0.722488038277512
