"","RFPred","Name","HTeam","Pos","Actual","H","SB"
"72339",3.97166666666667,"Jonathan Villar","MIL","2B",30,0,0
"72340",8.35996666666666,"Orlando Arcia","MIL","SS",8,0,1
"72342",2.05813333333333,"Jesus Aguilar","MIL","1B",0,1,0
"72343",6.8586,"Travis Shaw","MIL","3B",2,3,0
"72344",8.73263333333334,"Lorenzo Cain","MIL","CF",7,1,0
"72346",5.28103333333333,"Manny Pina","MIL","C",11,1,0
"72347",4.36016666666667,"Domingo Santana","MIL","RF",0,0,0
"72348",4.68953333333333,"Hernan Perez","MIL","UT",3,0,0
"72352",7.75856666666667,"Kris Bryant","CHC","3B",15,2,0
"72353",3.46383333333333,"Victor Caratini","CHC","UT",5,0,0
"72354",7.21253333333333,"Kyle Schwarber","CHC","LF",9,0,2
"72355",4.91546666666667,"Albert Almora","CHC","CF",21,0,0
"72356",6.97083333333333,"Anthony Rizzo","CHC","1B",4,2,1
"72357",8.08973333333333,"Javier Baez","CHC","2B",0,0,2
"72358",5.14216666666667,"Tommy La Stella","CHC","IF",5,0,0
"72360",4.7177,"Ben Zobrist","CHC","UT",3,0,0
"72362",7.08223333333334,"Jed Lowrie","OAK","2B",0,1,0
"72363",1.80833333333333,"Dustin Fowler","OAK","CF",11,0,0
"72364",5.96526666666667,"Jonathan Lucroy","OAK","C",8,0,0
"72365",7.40336666666667,"Marcus Semien","OAK","SS",3,0,1
"72366",6.8477,"Matt Olson","OAK","1B",20,0,0
"72367",10.6533666666667,"Khris Davis","OAK","DH",18,2,0
"72368",7.6699,"Matthew Joyce","OAK","LF",18,1,0
"72369",7.63463333333334,"Matt Chapman","OAK","3B",8,1,0
"72370",8.8546,"Mark Canha","OAK","CF",0,1,0
"72371",7.4175,"Jose Bautista","ATL","UT",17,1,0
"72373",7.1328,"Tyler Flowers","ATL","C",26,0,0
"72374",6.7579,"Nick Markakis","ATL","RF",10,1,0
"72376",8.6256,"Ozzie Albies","ATL","2B",24,2,2
"72377",9.64366666666666,"Ender Inciarte","ATL","CF",0,2,4
"72378",7.4204,"Ronald Acuna","ATL","LF",2,1,1
"72379",2.89783333333333,"Charlie Culberson","ATL","IF",2,0,0
"72380",8.87726666666667,"Freddie Freeman","ATL","1B",9,3,0
"72381",5.57033333333333,"Austin Jackson","SFG","CF",2,0,0
"72382",6.1116,"Brandon Crawford","SFG","SS",16,0,0
"72383",6.77316666666667,"Evan Longoria","SFG","3B",11,1,0
"72384",3.66626666666667,"Gregor Blanco","SFG","OF",5,1,0
"72385",9.70116666666667,"Buster Posey","SFG","C",15,0,0
"72386",9.47503333333333,"Brandon Belt","SFG","1B",26,0,1
"72387",2.89293333333333,"Kelby Tomlinson","SFG","MI",3,0,0
"72388",9.93976666666667,"Andrew McCutchen","SFG","RF",16,0,0
"72391",6.80813333333333,"Jose Iglesias","DET","SS",18,3,0
"72392",2.17343333333333,"Dixon Machado","DET","2B",3,0,1
"72393",6.62766666666667,"JaCoby Jones","DET","LF",0,0,0
"72394",7.62783333333333,"Niko Goodrum","DET","UT",30,1,0
"72395",5.65706666666667,"James McCann","DET","C",6,0,0
"72396",6.44516666666667,"Mikie Mahtook","DET","LF",8,0,2
"72397",6.39143333333333,"John Hicks","DET","UT",12,2,0
"72398",4.8458,"Pete Kozma","DET","IF",3,0,0
"72399",3.2866,"Victor Martinez","DET","DH",2,1,0
"72400",8.14806666666667,"Eric Hosmer","SDP","1B",13,0,0
"72401",6.12013333333334,"Jose Pirela","SDP","LF",0,0,0
"72402",6.30593333333333,"Manuel Margot","SDP","CF",3,0,1
"72403",6.451,"A.J. Ellis","SDP","C",3,0,0
"72404",7.24926666666666,"Freddy Galvis","SDP","SS",24,0,1
"72405",6.2486,"Christian Villanueva","SDP","3B",3,0,0
"72408",5.18203333333333,"Franchy Cordero","SDP","OF",2,0,2
"72411",10.0034,"Yonder Alonso","CLE","1B",0,1,0
"72412",11.8832,"Yan Gomes","CLE","C",0,1,0
"72413",13.5326333333333,"Francisco Lindor","CLE","SS",3,4,0
"72415",5.3361,"Greg Allen","CLE","CF",19,0,0
"72416",9.74243333333333,"Edwin Encarnacion","CLE","DH",6,0,0
"72417",2.96393333333333,"Brandon Guyer","CLE","RF",2,0,0
"72418",10.8767333333333,"Jose Ramirez","CLE","3B",19,3,3
"72419",5.38996666666667,"Jason Kipnis","CLE","2B",2,0,0
"72420",8.71819999999999,"Michael Brantley","CLE","LF",3,2,0
"72421",12.9514666666667,"Justin Upton","LAA","LF",6,4,0
"72422",4.58243333333333,"Luis Valbuena","LAA","3B",3,0,0
"72423",10.7634,"Ian Kinsler","LAA","2B",0,1,0
"72424",5.5411,"Martin Maldonado","LAA","C",4,0,0
"72425",7.27016666666667,"Mike Trout","LAA","CF",2,0,2
"72426",6.05206666666667,"Albert Pujols","LAA","1B",0,0,0
"72427",4.8865,"Kole Calhoun","LAA","RF",0,0,1
"72428",6.04993333333333,"Andrelton Simmons","LAA","SS",10,0,1
"72429",14.7512666666667,"Zack Cozart","LAA","3B",0,1,0
"72431",4.8177,"Brad Miller","TBR","1B",0,2,0
"72432",2.41226666666667,"Adeiny Hechavarria","TBR","SS",11,0,0
"72433",4.39733333333333,"Daniel Robertson","TBR","IF",0,0,0
"72434",7.12376666666667,"Carlos Gomez","TBR","RF",3,0,0
"72435",8.52296666666666,"C.J. Cron","TBR","DH",8,2,0
"72436",5.18606666666666,"Wilson Ramos","TBR","C",0,0,0
"72437",7.74706666666667,"Matt Duffy","TBR","3B",9,2,0
"72438",1.5332,"Rob Refsnyder","TBR","UT",0,0,0
"72439",5.173,"Johnny Field","TBR","OF",3,0,0
"72441",5.56803333333333,"Max Stassi","HOU","C",3,1,0
"72442",8.225,"Josh Reddick","HOU","RF",8,0,0
"72443",7.76413333333333,"George Springer","HOU","OF",3,0,0
"72444",9.62626666666667,"Carlos Correa","HOU","SS",7,2,0
"72445",8.45736666666667,"Alex Bregman","HOU","3B",0,1,0
"72446",6.47883333333333,"Evan Gattis","HOU","DH",6,2,1
"72448",11.5102,"Yuli Gurriel","HOU","1B",0,0,0
"72449",8.97106666666667,"Jose Altuve","HOU","2B",3,0,1
"72450",5.3598,"Ketel Marte","ARI","2B",5,0,0
"72451",4.12046666666667,"John Ryan Murphy","ARI","C",5,1,0
"72452",8.6853,"David Peralta","ARI","LF",0,1,0
"72453",5.98643333333333,"Daniel Descalso","ARI","3B",6,1,0
"72454",6.95956666666667,"Paul Goldschmidt","ARI","1B",5,0,0
"72455",5.27486666666667,"Nick Ahmed","ARI","SS",0,1,0
"72457",6.12503333333333,"Steven Souza","ARI","RF",9,0,1
"72460",8.7026,"A.J. Pollock","ARI","CF",0,1,1
"72462",10.8023,"Jean Segura","SEA","SS",9,0,2
"72463",3.36396666666667,"Gordon Beckham","SEA","2B",0,0,0
"72464",7.83663333333334,"Mike Zunino","SEA","C",0,2,0
"72465",6.87216666666667,"Mitch Haniger","SEA","RF",0,0,2
"72466",13.8329666666667,"Nelson Cruz","SEA","DH",5,0,2
"72467",11.4467333333333,"Ryon Healy","SEA","1B",6,3,0
