,RFPred,Name,HTeam,Pos,Actual,H,SB,HR,BHSplit,
72667,9.374333333,Nick Ahmed,ARI,SS,0,0.5,0,1,3,4.5
72666,7.7388,Steven Souza,ARI,RF,0,0.5,1,0,0,1.5
72673,7.4953,Paul Goldschmidt,ARI,1B,5,0.5,0,0,0,0.5
72675,6.853233333,Daniel Descalso,ARI,3B,7,0.833333333,0,0,1,1.833333333
72668,6.494933333,David Peralta,ARI,LF,3,1.2,0,1,5,7.2
72670,6.007266667,Ketel Marte,ARI,2B,0,1.333333333,0,0,1,2.333333333
72676,5.924366667,Chris Owings,ARI,RF,2,0.2,0,0,0,0.2
72674,3.3103,Jeff Mathis,ARI,C,2,0,0,0,0,0
72559,16.22236667,Ozzie Albies,ATL,2B,10,1.166666667,1,3,5,10.16666667
72556,10.71206667,Freddie Freeman,ATL,1B,7,1.5,1,3,4,9.5
72560,10.6743,Ender Inciarte,ATL,CF,23,1.5,4,2,1,8.5
72552,9.794633333,Nick Markakis,ATL,RF,0,1.833333333,0,1,3,5.833333333
72553,7.5826,Jose Bautista,ATL,UT,0,0.333333333,0,2,1,3.333333333
72557,7.556133333,Kurt Suzuki,ATL,C,0,0.333333333,0,0,3,3.333333333
72561,5.5796,Ronald Acuna,ATL,LF,17,0.5,1,0,0,1.5
72554,5.403066667,Johan Camargo,ATL,IF,3,0.5,0,0,1,1.5
72703,10.70123333,Mookie Betts,BOS,RF,0,1.4,4,0,5,10.4
72699,8.806466667,J.D. Martinez,BOS,DH,5,1.4,0,2,4,7.4
72705,7.539,Andrew Benintendi,BOS,LF,24,1.4,2,1,2,6.4
72701,7.1146,Rafael Devers,BOS,3B,2,1,0,1,4,6
72706,6.173166667,Hanley Ramirez,BOS,UT,3,0.75,0,2,2,4.75
72702,6.071866667,Xander Bogaerts,BOS,SS,6,1,0,1,2,4
72707,5.1913,Eduardo Nunez,BOS,2B,0,1,0,0,1,2
72704,5.046433333,Mitch Moreland,BOS,1B,14,0.75,0,1,4,5.75
72708,3.419366667,Christian Vazquez,BOS,C,0,0.25,0,0,0,0.25
72533,10.50536667,Kris Bryant,CHC,3B,8,1,0,3,4,8
72538,7.570066667,Anthony Rizzo,CHC,1B,2,1,1,2,4,8
72531,7.297133333,Kyle Schwarber,CHC,LF,0,0.5,2,0,4,6.5
72534,7.2722,Ben Zobrist,CHC,UT,5,1,0,0,0,1
72539,6.306766667,Javier Baez,CHC,2B,0,0.8,2,0,5,7.8
72540,5.767866667,Willson Contreras,CHC,C,10,2,1,3,4,10
72532,5.752766667,Addison Russell,CHC,SS,8,1,0,1,1,3
72536,5.476233333,Albert Almora,CHC,CF,10,1.5,0,1,1,3.5
72711,13.2346,Daniel Palka,CHW,UT,0,1.25,1,1,3,6.25
72718,9.382233333,Jose Abreu,CHW,1B,9,1.5,0,0,4,5.5
72714,8.163566667,Welington Castillo,CHW,C,3,1,0,0,3,4
72710,6.990266667,Yoan Moncada,CHW,2B,3,NA,0,0,5,5
72712,6.085466667,Nick Delmonico,CHW,LF,0,0.5,0,0,0,0.5
72709,6.009666667,Leury Garcia,CHW,UT,3,0.5,0,0,1,1.5
72716,5.680166667,Tim Anderson,CHW,SS,3,0.25,0,1,2,3.25
72715,4.9716,Yolmer Sanchez,CHW,3B,3,0.75,0,0,0,0.75
72746,11.41113333,Scott Schebler,CIN,RF,2,0.666666667,0,2,4,6.666666667
72742,8.3296,Jesse Winker,CIN,RF,2,1,0,0,0,1
72748,8.020233333,Scooter Gennett,CIN,2B,6,2.5,0,2,4,8.5
72750,7.003233333,Adam Duvall,CIN,LF,0,0.833333333,0,2,3,5.833333333
72745,6.709733333,Billy Hamilton,CIN,CF,3,0.833333333,3,0,0,3.833333333
72749,6.295233333,Jose Peraza,CIN,SS,0,0.833333333,1,0,2,3.833333333
72747,5.073366667,Eugenio Suarez,CIN,3B,23,0.833333333,0,1,2,3.833333333
