"","RFPred","Name","HTeam","Pos","Actual","H","SB","HR","BHSplit"
"72521",6.31366666666667,"Manny Pina","MIL","C",3,1.75,0,1,0.5
"72522",6.80616666666667,"Lorenzo Cain","MIL","CF",0,1.5,1,1,0.4
"72523",5.64683333333333,"Domingo Santana","MIL","RF",0,1,0,0,0.5
"72524",8.17313333333333,"Orlando Arcia","MIL","SS",0,0.8,1,0,0
"72525",12.6711666666667,"Jonathan Villar","MIL","2B",0,1,1,1,0
"72527",8.85416666666667,"Travis Shaw","MIL","3B",8,1.4,0,2,0.875
"72528",4.0818,"Jesus Aguilar","MIL","1B",6,0.8,0,1,0.75
"72530",6.54283333333333,"Christian Yelich","MIL","LF",8,1.2,2,0,0.666666666666667
"72531",8.02666666666667,"Kyle Schwarber","CHC","LF",0,0.5,2,0,0.8
"72532",6.2309,"Addison Russell","CHC","SS",8,1,0,1,0.5
"72533",10.8657333333333,"Kris Bryant","CHC","3B",8,1,0,3,0.571428571428571
"72534",6.95533333333333,"Ben Zobrist","CHC","UT",5,1,0,0,0
"72536",5.00973333333334,"Albert Almora","CHC","CF",10,1.5,0,1,0.5
"72538",7.4094,"Anthony Rizzo","CHC","1B",2,1,1,2,0.666666666666667
"72539",6.37373333333333,"Javier Baez","CHC","2B",0,0.8,2,0,0.714285714285714
"72540",5.5071,"Willson Contreras","CHC","C",10,2,1,3,0.8
"72542",6.3377,"Matt Olson","OAK","1B",4,0.8,0,1,0
"72543",5.46333333333333,"Jed Lowrie","OAK","2B",3,1.2,0,1,0.166666666666667
"72544",6.23476666666667,"Matt Chapman","OAK","3B",13,0.8,0,1,0.333333333333333
"72545",8.81096666666667,"Chad Pinder","OAK","UT",5,0,0,0,0.333333333333333
"72547",5.7284,"Marcus Semien","OAK","SS",5,1.4,0,0,0.666666666666667
"72548",5.75476666666667,"Jonathan Lucroy","OAK","C",5,0.8,0,0,0
"72549",8.97253333333333,"Khris Davis","OAK","DH",5,1,0,3,0.375
"72550",5.6755,"Stephen Piscotty","OAK","RF",15,1,0,0,0.5
"72551",5.10753333333333,"Mark Canha","OAK","CF",6,0.8,0,1,0.5
"72552",10.1782,"Nick Markakis","ATL","RF",0,1.83333333333333,0,1,0.5
"72553",8.34036666666666,"Jose Bautista","ATL","UT",0,0.333333333333333,0,2,0.333333333333333
"72554",4.96193333333333,"Johan Camargo","ATL","IF",3,0.5,0,0,0.333333333333333
"72556",11.0868333333333,"Freddie Freeman","ATL","1B",7,1.5,1,3,0.571428571428571
"72557",7.70713333333334,"Kurt Suzuki","ATL","C",0,0.333333333333333,0,0,0.6
"72559",16.0889666666667,"Ozzie Albies","ATL","2B",10,1.16666666666667,1,3,0.555555555555556
"72560",10.0828,"Ender Inciarte","ATL","CF",23,1.5,4,2,0.25
"72561",5.25196666666667,"Ronald Acuna","ATL","LF",17,0.5,1,0,0
"72564",10.6192333333333,"Gregory Polanco","PIT","RF",15,1.33333333333333,0,2,0.75
"72565",4.18223333333333,"Adam Frazier","PIT","2B",19,0,0,0,0.5
"72567",8.74253333333334,"Josh Bell","PIT","1B",14,1,0,1,0.333333333333333
"72569",6.42503333333333,"Corey Dickerson","PIT","LF",3,0.666666666666667,0,0,0.8
"72570",4.59166666666667,"Colin Moran","PIT","3B",10,0.75,0,1,0.5
"72571",7.10443333333333,"Jordy Mercer","PIT","SS",0,1,0,1,0.666666666666667
"72572",2.84323333333333,"Sean Rodriguez","PIT","UT",13,0.5,1,0,0.333333333333333
"72574",8.8371,"Brandon Belt","SFG","1B",17,1.33333333333333,0,1,0.571428571428571
"72575",4.96273333333333,"Austin Jackson","SFG","CF",5,0.6,0,0,0
"72576",3.49633333333334,"Kelby Tomlinson","SFG","MI",3,0.6,0,0,0
"72577",5.84996666666667,"Brandon Crawford","SFG","SS",19,1.5,0,0,0.666666666666667
"72578",6.9345,"Buster Posey","SFG","C",3,1.5,0,0,0
"72579",8.0759,"Andrew McCutchen","SFG","RF",0,1.4,0,0,0
"72582",7.73266666666667,"Evan Longoria","SFG","3B",5,1.16666666666667,0,1,0.714285714285714
"72583",3.4549,"Gregor Blanco","SFG","OF",3,1,0,1,0.5
"72584",6.42066666666666,"JaCoby Jones","DET","LF",23,1.28571428571429,0,0,0.5
"72585",3.19933333333333,"Dixon Machado","DET","2B",5,1,1,0,0
"72586",10.4456333333333,"Nicholas Castellanos","DET","RF",15,1,0,0,0.4
"72587",4.2405,"Pete Kozma","DET","IF",8,1.4,0,0,0
"72588",9.56893333333333,"James McCann","DET","C",14,0.714285714285714,0,0,0.5
