,RFPred,Name,HTeam,Pos,Actual,H,SB,HR,BHSplit
242,10.34103333,Jake Lamb,ARI,3B,0,0.666666667,0,1,0.5
238,7.923733333,A.J. Pollock,ARI,CF,0,NA,0,0,0.571428571
233,7.863233333,Paul Goldschmidt,ARI,1B,0,0.4,0,1,0.5
237,7.392333333,David Peralta,ARI,LF,0,0.4,0,0,0.833333333
235,6.471866667,Nick Ahmed,ARI,SS,0,0.6,0,0,0.75
236,5.3183,Daniel Descalso,ARI,3B,0,0.75,0,1,0.25
240,4.702933333,Jarrod Dyson,ARI,OF,0,0.8,3,0,0.666666667
239,4.298566667,Chris Owings,ARI,RF,0,0.4,3,0,0
247,3.6875,Steven Souza,ARI,RF,0,0.666666667,0,0,0
244,3.414666667,John Ryan Murphy,ARI,C,0,1,0,1,0.333333333
243,3.247466667,Alex Avila,ARI,C,0,0.333333333,0,0,0.5
234,3.098166667,Ketel Marte,ARI,2B,0,0.6,0,0,0
245,3.056533333,Jeff Mathis,ARI,C,0,0,0,0,0
241,2.691466667,Deven Marrero,ARI,3B,0,0.5,0,0,0
246,1.716666667,Christian Walker,ARI,1B,0,0,0,0,0
71,10.1399,Freddie Freeman,ATL,1B,0,1.4,1,1,0.625
70,8.799233333,Kurt Suzuki,ATL,C,0,1,0,1,0.5
72,6.976133333,Ozzie Albies,ATL,2B,0,1.2,0,0,0.625
75,6.3391,Ender Inciarte,ATL,CF,0,0.6,0,0,0.4
76,5.714033333,Nick Markakis,ATL,RF,0,1.4,1,0,0.5
85,5.5829,Ronald Acuna,ATL,LF,0,0.8,0,0,0.25
79,5.345766667,Tyler Flowers,ATL,C,0,0.333333333,0,0,0.5
86,5.2032,Jose Bautista,ATL,UT,0,0,0,0,0.333333333
73,5.0822,Dansby Swanson,ATL,SS,0,0.666666667,0,0,0
84,5.0167,Johan Camargo,ATL,IF,0,0.6,0,0,0.333333333
77,3.853166667,Preston Tucker,ATL,LF,0,0,0,0,0
82,3.433466667,Chris Stewart,ATL,C,0,NA,0,0,0
74,2.893533333,Ryan Flaherty,ATL,3B,0,0,0,0,0
78,2.430733333,Charlie Culberson,ATL,UT,0,0.5,0,0,0
81,2.0646,Lane Adams,ATL,OF,0,NA,0,0,0
80,1.9303,Peter Bourjos,ATL,OF,0,NA,0,0,0
831,0.756633333,Carlos Perez,ATL,C,0,1,0,0,0
83,0.743333333,Carlos Perez,ATL,C,0,1,0,0,0
367,9.557066667,Manny Machado,BAL,SS,0,1.2,0,1,0.875
370,7.275766667,Adam Jones,BAL,CF,0,1.6,0,2,0.833333333
381,6.9266,Mark Trumbo,BAL,UT,0,0.8,0,1,0.666666667
369,6.2962,Trey Mancini,BAL,LF,0,0.4,0,0,0.5
376,6.149,Chance Sisco,BAL,C,0,1,0,0,0.666666667
374,6.126566667,Colby Rasmus,BAL,UT,0,NA,0,0,0
366,5.891733333,Jonathan Schoop,BAL,2B,0,0.4,0,1,0.833333333
368,5.699266667,Tim Beckham,BAL,3B,0,NA,0,0,0
372,5.573833333,Danny Valencia,BAL,UT,0,0.666666667,0,0,0.25
365,5.2773,Chris Davis,BAL,1B,0,0.5,0,0,0
364,4.955233333,Caleb Joseph,BAL,C,0,NA,0,0,0
379,3.318266667,Jace Peterson,BAL,OF,0,0.4,0,0,0
380,3.271933333,Joey Rickard,BAL,OF,0,1.333333333,0,0,0
3791,3.005,Jace Peterson,BAL,OF,0,0.4,0,0,0
371,2.6782,Pedro Alvarez,BAL,DH,0,0.5,0,1,0.571428571
373,2.5783,Craig Gentry,BAL,OF,0,0.5,1,0,0
375,2.003933333,Anthony Santander,BAL,RF,0,NA,0,0,0
377,0.887833333,Engelb Vielma,BAL,MI,0,NA,0,0,0
378,0.835766667,Luis Sardinas,BAL,2B,0,NA,0,0,0
382,0.7148,Andrew Susac,BAL,C,0,0.333333333,0,0,0
145,11.29403333,Mookie Betts,BOS,RF,0,2,3,2,0.5
143,8.194533333,Andrew Benintendi,BOS,LF,0,1.6,1,2,0.6
142,7.7049,Rafael Devers,BOS,3B,0,0.4,0,1,0.666666667
140,6.676333333,Eduardo Nunez,BOS,2B,0,1.25,0,0,0.5
141,6.5414,Xander Bogaerts,BOS,SS,0,1,0,2,0.6
146,6.423666667,J.D. Martinez,BOS,DH,0,1.2,0,4,0.636363636
139,6.3716,Mitch Moreland,BOS,1B,0,0.333333333,0,0,0.6
147,4.8993,Hanley Ramirez,BOS,UT,0,0.75,1,0,0.666666667
138,4.563733333,Christian Vazquez,BOS,C,0,1.333333333,0,0,0
144,4.437666667,Jackie Bradley,BOS,CF,0,0.25,1,0,0
148,4.1384,Brock Holt,BOS,UT,0,1,0,0,0
149,3.2784,Sandy Leon,BOS,C,0,1.5,0,0,0
151,1.6363,TzuWei Lin,BOS,MI,0,NA,0,0,0
150,0.557733333,Blake Swihart,BOS,UT,0,0,0,0,0
63,12.29976667,Ian Happ,CHC,OF,0,1.428571429,0,4,0.375
59,9.785466667,Kris Bryant,CHC,3B,0,1.833333333,2,0,0.571428571
60,9.1865,Kyle Schwarber,CHC,LF,0,0.6,0,1,0.8
56,8.328733333,Anthony Rizzo,CHC,1B,0,1,0,0,0.666666667
57,7.808833333,Javier Baez,CHC,2B,0,1,0,1,0.6
55,7.751266667,Willson Contreras,CHC,C,0,1,0,0,0.8
62,7.410933333,Jason Heyward,CHC,RF,0,1,0,0,0
65,7.2601,Ben Zobrist,CHC,UT,0,0.857142857,0,1,0.5
68,5.5495,David Bote,CHC,IF,0,NA,0,0,0
64,4.324166667,Tommy La Stella,CHC,IF,0,1.333333333,0,0,0
58,3.358066667,Addison Russell,CHC,SS,0,1.166666667,1,0,0.5
67,2.8414,Efren Navarro,CHC,1B,0,NA,0,0,0
61,2.439533333,Albert Almora,CHC,CF,0,1.285714286,0,0,0.5
69,1.9424,Mark Zagunis,CHC,RF,0,NA,0,0,0
66,1.474666667,Victor Caratini,CHC,UT,0,0.4,0,0,0
391,9.4422,Matt Davidson,CHW,DH,0,0.666666667,0,0,0.428571429
384,8.583066667,Jose Abreu,CHW,1B,0,1.5,0,1,0
383,7.446066667,Welington Castillo,CHW,C,0,1,0,1,0
386,7.1463,Tim Anderson,CHW,SS,0,0.5,1,0,0.166666667
388,7.0851,Nick Delmonico,CHW,LF,0,0.666666667,0,0,0
392,6.516166667,Leury Garcia,CHW,UT,0,1.333333333,1,1,0
387,6.3396,Yolmer Sanchez,CHW,3B,0,0.6,0,1,0
390,6.237266667,Avisail Garcia,CHW,RF,0,NA,0,0,0
385,6.231766667,Yoan Moncada,CHW,2B,0,1,0,0,0
396,5.449566667,Daniel Palka,CHW,UT,0,1,0,0,0.2
389,3.9273,Adam Engel,CHW,CF,0,0.5,1,0,0
394,3.654333333,Omar Narvaez,CHW,C,0,0.666666667,0,0,0
393,2.8985,Tyler Saladino,CHW,MI,0,1,0,2,0.8
3931,2.797233333,Tyler Saladino,CHW,MI,0,1,0,2,0.8
3951,2.346433333,Trayce Thompson,CHW,CF,0,0.333333333,2,0,0.6
395,2.297933333,Trayce Thompson,CHW,CF,0,0.333333333,2,0,0.6
397,1.725333333,Jose Rondon,CHW,2B,0,NA,0,0,0
218,7.1225,Joey Votto,CIN,1B,0,0.714285714,0,0,0.571428571
222,5.257933333,Adam Duvall,CIN,LF,0,0.428571429,0,2,0.428571429
219,4.939433333,Scooter Gennett,CIN,2B,0,1,0,1,0.5
223,4.617366667,Billy Hamilton,CIN,CF,0,0.285714286,0,0,0
221,4.4748,Eugenio Suarez,CIN,3B,0,0.333333333,0,0,0.5
224,3.952266667,Jesse Winker,CIN,RF,0,0.285714286,0,0,0
230,3.845,Alex Blandino,CIN,IF,0,0.571428571,0,0,0.5
225,3.688333333,Scott Schebler,CIN,RF,0,0.833333333,2,0,0.8
217,3.3634,Tucker Barnhart,CIN,C,0,0.4,0,0,0.5
227,3.252766667,Phil Ervin,CIN,OF,0,NA,0,0,0
220,3.1914,Jose Peraza,CIN,SS,0,0.285714286,2,0,0.666666667
228,3.010233333,Cliff Pennington,CIN,IF,0,NA,0,0,0
229,1.9716,Philip Gosselin,CIN,UT,0,NA,0,0,0
2261,1.908266667,Devin Mesoraco,CIN,C,0,0.666666667,0,2,0.285714286
226,1.7568,Devin Mesoraco,CIN,C,0,0.666666667,0,2,0.285714286
231,1.0679,Rosell Herrera,CIN,UT,0,0.5,0,0,0
232,0.758066667,Tony Cruz,CIN,C,0,0,0,0,0
41,7.340333333,Jason Kipnis,CLE,2B,0,0.75,0,0,0
45,7.200433333,Edwin Encarnacion,CLE,DH,0,1,0,1,0.285714286
43,7.1847,Jose Ramirez,CLE,3B,0,1,0,0,0.428571429
42,7.147,Francisco Lindor,CLE,SS,0,0.5,0,0,0.538461538
46,6.8171,Rajai Davis,CLE,UT,0,0.333333333,0,0,0
52,6.754233333,Michael Brantley,CLE,LF,0,1.5,0,2,0.285714286
39,6.186633333,Yan Gomes,CLE,C,0,1,0,1,0.25
48,6.117333333,Lonnie Chisenhall,CLE,RF,0,NA,0,0,0
54,5.881333333,Melky Cabrera,CLE,RF,0,0,0,0,0
51,5.619466667,Erik Gonzalez,CLE,IF,0,1,0,0,0
40,5.3164,Yonder Alonso,CLE,1B,0,0.25,0,0,0.5
47,4.9021,Tyler Naquin,CLE,RF,0,NA,0,0,0.5
49,4.6442,Brandon Guyer,CLE,RF,0,0,0,0,0
53,3.995166667,Greg Allen,CLE,OF,0,0.666666667,0,0,0
50,3.4235,Roberto Perez,CLE,C,0,1,0,0,0
44,2.7587,Bradley Zimmer,CLE,CF,0,NA,0,0,0
468,12.93713333,Gerardo Parra,COL,LF,0,1.2,1,1,0.333333333
469,11.1603,Charlie Blackmon,COL,CF,0,0.8,0,1,0.2
470,10.3748,Carlos Gonzalez,COL,RF,0,1,0,0,0.5
466,9.372133333,Trevor Story,COL,SS,0,1.6,0,0,0.428571429
463,9.086833333,Chris Iannetta,COL,C,0,0,0,0,0.333333333
472,7.459833333,Mike Tauchman,COL,OF,0,NA,0,0,0
467,6.873966667,Nolan Arenado,COL,3B,0,1.6,1,0,0
464,6.3349,Ian Desmond,COL,1B,0,0.6,2,1,0.5
474,6.233733333,Tony Wolters,COL,C,0,0.333333333,1,0,0.333333333
465,6.175533333,DJ LeMahieu,COL,2B,0,NA,0,0,0
473,4.742733333,Pat Valaika,COL,IF,0,0.5,0,0,0
475,4.114666667,David Dahl,COL,OF,0,0.2,0,0,0
477,3.6089,Daniel Castro,COL,2B,0,0.666666667,0,0,0.5
476,3.299733333,Noel Cuevas,COL,OF,0,0.6,0,0,0.5
471,1.560133333,Ryan McMahon,COL,CI,0,NA,0,0,0
309,10.74186667,Nicholas Castellanos,DET,RF,0,1.4,1,1,0
303,8.931533333,Miguel Cabrera,DET,1B,0,NA,0,0,0
306,7.006466667,Jeimer Candelario,DET,3B,0,NA,0,0,0
305,6.437166667,Jose Iglesias,DET,SS,0,1.4,2,0,0
315,5.905,Grayson Greiner,DET,C,0,1,0,0,0
302,5.633933333,James McCann,DET,C,0,0.75,0,0,0
307,4.787033333,JaCoby Jones,DET,LF,0,0.2,1,0,0
