"","RFPred","Name","HTeam","Pos","Actual","H","SB","HR","HRSplitL30","HSplitL30","HRSplit","HSplit"
"1",7.65743333333333,"Gary Sanchez","NYY","C",0,1.1,0,3,0.3,0.238095238095238,0.340425531914894,0.275675675675676
"2",8.297,"Neil Walker","NYY","1B",0,1,0,1,0,0.0666666666666667,0.125,0.229166666666667
"3",3.5639,"Didi Gregorius","NYY","SS",0,0.333333333333333,1,0,0.25,0.388888888888889,0.170731707317073,0.28110599078341
"4",7.33646666666667,"Brett Gardner","NYY","LF",0,1.22222222222222,3,0,0,0.166666666666667,0.125,0.2
"5",8.72496666666667,"Aaron Hicks","NYY","CF",0,1.1,2,3,0.25,0.45,0.318181818181818,0.442622950819672
"6",8.1937,"Aaron Judge","NYY","RF",0,0.909090909090909,0,4,0,0.166666666666667,0.25,0.267281105990783
"7",9.71273333333334,"Giancarlo Stanton","NYY","DH",0,1.36363636363636,0,2,0.571428571428571,0.5,0.291139240506329,0.280172413793103
"8",4.96443333333333,"Tyler Austin","NYY","1B",0,0.857142857142857,0,3,0.4,0.444444444444444,0.333333333333333,0.323529411764706
"9",0.6441,"Tyler Wade","NYY","2B",0,NA,0,0,0,0,0,0.285714285714286
"10",6.0321,"Brandon Drury","NYY","3B",0,NA,0,0,0,0,0.352941176470588,0.264705882352941
"11",1.296,"Billy McKinney","NYY","LF",0,NA,0,0,0,0,0,0
"12",12.1602666666667,"Miguel Andujar","NYY","3B",0,1.3,1,2,0.666666666666667,0.461538461538462,0.5,0.469387755102041
"13",9.37990000000001,"Austin Romine","NYY","C",0,1.66666666666667,0,2,0.666666666666667,0.555555555555556,0.4,0.295774647887324
"14",4.33266666666667,"Ronald Torreyes","NYY","IF",0,1,0,0,0,0.857142857142857,0.333333333333333,0.314516129032258
"15",2.99533333333333,"Jace Peterson","NYY","OF",0,0.230769230769231,4,0,0,0.619047619047619,0,0.485714285714286
"230",2.58276666666667,"Jace Peterson","BAL","OF",0,0.230769230769231,4,0,0,0.619047619047619,0,0.485714285714286
"16",3.37913333333334,"Shane Robinson","NYY","UT",0,NA,0,0,0,0,0,0.454545454545455
"17",12.5688,"Gleyber Torres","NYY","2B",0,1.1,0,5,0.25,0.310344827586207,0.25,0.3
"18",7.6697,"Clint Frazier","NYY","DH",0,1,0,0,0,0.5,0.25,0.361111111111111
"19",7.3705,"Kurt Suzuki","ATL","C",0,0.571428571428571,0,1,0.5,0.5625,0.931034482758621,0.805084745762712
"20",9.123,"Freddie Freeman","ATL","1B",0,1.38461538461538,3,4,0.625,0.648648648648649,0.875,0.775700934579439
"21",10.2911,"Ozzie Albies","ATL","2B",0,1.23076923076923,2,4,0.666666666666667,0.757575757575758,0.772727272727273,0.823529411764706
"22",4.7744,"Dansby Swanson","ATL","SS",0,0.5,0,0,0,0.555555555555556,0.777777777777778,0.823170731707317
"23",2.73426666666667,"Ryan Flaherty","ATL","3B",0,0.222222222222222,0,0,0,0.555555555555556,0.333333333333333,0.842105263157895
"24",6.5542,"Ender Inciarte","ATL","CF",0,1.15384615384615,5,3,0.4,0.689655172413793,0.761904761904762,0.827464788732394
"25",7.83913333333333,"Nick Markakis","ATL","RF",0,1.46153846153846,1,1,0.6,0.7,0.5,0.805785123966942
"26",1.4122,"Preston Tucker","ATL","LF",0,0.25,0,0,0,0.625,0.75,0.814814814814815
"27",4.17073333333333,"Charlie Culberson","ATL","UT",0,0.5,0,0,0,0.375,0,0.615384615384615
"28",7.24566666666667,"Tyler Flowers","ATL","C",0,1,0,1,0.5,0.583333333333333,0.733333333333333,0.830188679245283
"29",2.8,"Peter Bourjos","ATL","OF",0,NA,0,0,0,0,0.5,0.471698113207547
"30",2.9503,"Lane Adams","ATL","OF",0,NA,0,0,0,0,0.714285714285714,0.736842105263158
"31",2.7401,"Chris Stewart","ATL","C",0,NA,0,0,0,0,0,0.870967741935484
"32",1.24926666666667,"Carlos Perez","ATL","C",0,0.6,0,2,0,0.571428571428571,0.25,0.6
"33",5.1479,"Johan Camargo","ATL","IF",0,0.538461538461538,0,0,0.333333333333333,0.714285714285714,0.571428571428571,0.768421052631579
"34",8.51666666666667,"Ronald Acuna","ATL","LF",0,0.769230769230769,1,1,0.25,0.592592592592593,0.25,0.592592592592593
"35",4.92313333333333,"Jose Bautista","ATL","LF",0,0.333333333333333,0,4,0.4,0.615384615384615,0.8125,0.741258741258741
"152",3.8497,"Jose Bautista","NYM","LF",0,0.333333333333333,0,4,0.4,0.615384615384615,0.8125,0.741258741258741
"36",9.8215,"Carlos Santana","PHI","1B",0,0.909090909090909,0,3,0.142857142857143,0.227272727272727,0.176470588235294,0.31981981981982
"37",8.9288,"Cesar Hernandez","PHI","2B",0,1.18181818181818,3,2,0,0.142857142857143,0.0666666666666667,0.222222222222222
"38",2.3964,"J.P. Crawford","PHI","SS",0,NA,0,0,0,0,0,0.148148148148148
"39",6.02346666666667,"Maikel Franco","PHI","3B",0,0.727272727272727,0,1,0,0.08,0.323529411764706,0.244444444444444
"40",10.6355666666667,"Rhys Hoskins","PHI","LF",0,0.454545454545455,0,1,0,0.294117647058824,0.172413793103448,0.211111111111111
"41",9.79416666666667,"Odubel Herrera","PHI","CF",0,1.27272727272727,0,2,0,0.121212121212121,0.166666666666667,0.253333333333333
"42",9.341,"Aaron Altherr","PHI","RF",0,0.4,0,1,0,0.1875,0.285714285714286,0.354166666666667
"43",6.2989,"Nick Williams","PHI","RF",0,0.545454545454545,0,2,0.333333333333333,0.181818181818182,0.235294117647059,0.211864406779661
"44",3.1137,"Andrew Knapp","PHI","C",0,0.25,0,0,0,0,0.25,0.109090909090909
"45",4.7957,"Pedro Florimon","PHI","SS",0,0.666666666666667,0,2,0,0.0769230769230769,0,0.151515151515152
