,RFPred,Name,HTeam,Pos,Actual
69688,10.114,Ronald Acuna,ATL,LF,0
69686,9.033722222,Ender Inciarte,ATL,CF,2
69689,8.377888889,Ozzie Albies,ATL,2B,5
69690,8.205,Freddie Freeman,ATL,1B,15
69692,7.472,Johan Camargo,ATL,IF,7
69694,6.960611111,Nick Markakis,ATL,RF,18
69693,5.820222222,Preston Tucker,ATL,LF,0
69691,5.758777778,Jose Bautista,ATL,UT,6
69687,4.745611111,Tyler Flowers,ATL,C,3
69695,1.433888889,Charlie Culberson,ATL,IF,5
69640,11.37911111,Manny Machado,BAL,SS,7
69635,7.096666667,Trey Mancini,BAL,LF,0
69639,7.091333333,Danny Valencia,BAL,UT,5
69633,7.062277778,Mark Trumbo,BAL,UT,9
69636,6.966222222,Chris Davis,BAL,1B,5
69634,6.29,Adam Jones,BAL,CF,23
696411,5.086611111,Jace Peterson,BAL,UT,0
69641,5.07,Jace Peterson,BAL,UT,0
696421,4.6445,Jace Peterson,BAL,OF,0
69638,4.635444444,Caleb Joseph,BAL,C,6
69642,4.405277778,Jace Peterson,BAL,OF,0
69643,3.986222222,Chance Sisco,BAL,C,0
69637,3.888944444,Pedro Alvarez,BAL,DH,0
69724,13.27477778,Mookie Betts,BOS,RF,15
69718,10.51272222,Xander Bogaerts,BOS,SS,0
69717,9.098222222,J.D. Martinez,BOS,DH,15
69723,8.177666667,Rafael Devers,BOS,3B,33
69721,7.754833333,Andrew Benintendi,BOS,LF,0
69725,6.964944444,Eduardo Nunez,BOS,2B,0
69719,6.161888889,Hanley Ramirez,BOS,UT,6
69720,6.011611111,Jackie Bradley,BOS,CF,3
69722,4.771777778,Sandy Leon,BOS,C,4
69699,10.55894444,Kris Bryant,CHC,3B,6
69705,9.412333333,Javier Baez,CHC,2B,8
69696,7.964833333,Kyle Schwarber,CHC,LF,0
69703,7.553,Willson Contreras,CHC,C,0
69702,6.829444444,Anthony Rizzo,CHC,1B,3
69698,6.111277778,Jason Heyward,CHC,RF,0
69706,4.887888889,Albert Almora,CHC,CF,8
69697,4.408611111,Ian Happ,CHC,OF,6
69704,3.865611111,Ben Zobrist,CHC,UT,3
69700,2.960666667,Tommy La Stella,CHC,IF,3
69701,2.655944444,Victor Caratini,CHC,UT,3
69623,15.8735,Daniel Palka,CHW,UT,0
69622,13.28416667,Yoan Moncada,CHW,2B,2
69620,8.543611111,Leury Garcia,CHW,UT,18
69621,8.475611111,Jose Abreu,CHW,1B,21
69618,7.658611111,Adam Engel,CHW,CF,0
69616,6.993222222,Nick Delmonico,CHW,LF,4
69617,6.854111111,Yolmer Sanchez,CHW,3B,21
69615,6.298777778,Tim Anderson,CHW,SS,5
69619,5.569833333,Matt Davidson,CHW,DH,3
69614,4.545777778,Omar Narvaez,CHW,C,0
69599,12.94255556,Eugenio Suarez,CIN,3B,19
69594,11.35911111,Jose Peraza,CIN,SS,11
69603,10.23311111,Joey Votto,CIN,1B,6
69602,10.16044444,Scott Schebler,CIN,OF,2
69600,9.580388889,Adam Duvall,CIN,LF,15
69596,9.333,Billy Hamilton,CIN,CF,7
69597,6.524722222,Scooter Gennett,CIN,2B,0
69595,6.494777778,Alex Blandino,CIN,IF,4
69601,5.681944444,Jesse Winker,CIN,RF,3
69598,4.893666667,Tucker Barnhart,CIN,C,2
69624,13.61738889,Charlie Blackmon,COL,CF,22
69631,8.959055556,Nolan Arenado,COL,3B,10
69627,5.897222222,David Dahl,COL,OF,0
69626,5.847722222,Trevor Story,COL,SS,15
69625,4.788444444,Carlos Gonzalez,COL,RF,2
69629,4.638611111,Ian Desmond,COL,1B,11
69632,3.706333333,Gerardo Parra,COL,LF,10
69630,1.81,Daniel Castro,COL,2B,3
69628,1.772444444,Tony Wolters,COL,C,15
69574,8.208666667,Nicholas Castellanos,DET,RF,2
69569,8.146277778,Victor Martinez,DET,DH,11
69571,7.744888889,James McCann,DET,C,6
69566,7.640333333,John Hicks,DET,UT,3
69570,7.0975,Jeimer Candelario,DET,3B,11
69568,6.847,Jose Iglesias,DET,SS,0
69572,5.833,JaCoby Jones,DET,LF,6
69573,5.027333333,Leonys Martin,DET,CF,0
69567,4.281222222,Dixon Machado,DET,2B,0
69575,1.723666667,Victor Reyes,DET,UT,2
69474,12.97344444,Carlos Correa,HOU,SS,14
69476,11.61005556,Josh Reddick,HOU,RF,5
69472,10.31544444,Jose Altuve,HOU,2B,20
69478,8.398611111,Alex Bregman,HOU,3B,8
69475,7.295833333,Max Stassi,HOU,C,5
69479,7.288444444,Jake Marisnick,HOU,CF,0
69473,7.162722222,George Springer,HOU,OF,15
69477,5.729777778,Derek Fisher,HOU,LF,0
69471,5.197,Yuli Gurriel,HOU,1B,17
69558,13.84027778,Jorge Soler,KCR,RF,3
69559,12.99744444,Alex Gordon,KCR,OF,5
69557,12.13294444,Mike Moustakas,KCR,3B,3
69565,9.803222222,Salvador Perez,KCR,UT,2
69556,8.899222222,Whit Merrifield,KCR,2B,0
69562,6.623,Alcides Escobar,KCR,SS,12
69560,6.557388889,Lucas Duda,KCR,1B,0
69564,5.434444444,Jon Jay,KCR,LF,8
69563,3.935444444,Abraham Almonte,KCR,CF,0
69561,2.554611111,Cheslor Cuthbert,KCR,DH,4
69684,18.69661111,Mike Trout,LAA,CF,22
69679,12.70572222,Rene Rivera,LAA,C,0
69683,11.70983333,Justin Upton,LAA,LF,8
69681,10.64672222,Albert Pujols,LAA,1B,10
69678,10.19122222,Ian Kinsler,LAA,2B,0
