"","RFPred","Name","HTeam","Pos","Actual"
"70846",4.38827777777778,"Enrique Hernandez","LAD","UT",17
"70847",6.49788888888889,"Max Muncy","LAD","UT",0
"70848",9.5425,"Chris Taylor","LAD","CF",6
"70849",2.76816666666667,"Alex Verdugo","LAD","OF",5
"70850",6.695,"Chase Utley","LAD","2B",2
"70851",3.20383333333333,"Kyle Farmer","LAD","3B",0
"70852",5.40666666666667,"Joc Pederson","LAD","OF",2
"70853",4.95427777777778,"Tim Locastro","LAD","CF",4
"70854",8.58944444444444,"Cody Bellinger","LAD","1B",11
"70855",4.34372222222222,"Austin Barnes","LAD","UT",0
"70856",6.30222222222222,"Matt Kemp","LAD","LF",12
"70857",8.93711111111111,"Yasmani Grandal","LAD","C",20
"70858",7.89583333333333,"Matt Duffy","TBR","3B",2
"70859",5.37883333333333,"Joey Wendle","TBR","2B",0
"70860",5.09705555555555,"Brad Miller","TBR","1B",2
"70861",4.21144444444445,"Adeiny Hechavarria","TBR","SS",3
"70862",5.93894444444445,"Wilson Ramos","TBR","C",5
"70863",9.95816666666667,"Johnny Field","TBR","OF",3
"70864",3.71877777777778,"C.J. Cron","TBR","DH",3
"70865",5.953,"Denard Span","TBR","LF",2
"70866",5.93322222222222,"Mallex Smith","TBR","CF",0
"70867",2.42477777777778,"Jesus Sucre","TBR","C",0
"70868",3.14277777777778,"Daniel Robertson","TBR","UT",2
"70869",7.06916666666667,"Carlos Gomez","TBR","RF",3
"70870",1.91877777777778,"Rob Refsnyder","TBR","UT",0
"70871",9.19094444444444,"Alex Gordon","KCR","OF",26
"70872",2.775,"Drew Butera","KCR","C",0
"70873",9.57600000000001,"Salvador Perez","KCR","UT",15
"70874",15.4203888888889,"Lucas Duda","KCR","1B",4
"70875",4.43194444444445,"Jon Jay","KCR","LF",15
"70876",6.37316666666667,"Mike Moustakas","KCR","3B",33
"70877",7.32294444444445,"Alcides Escobar","KCR","SS",10
"70878",5.05838888888889,"Ryan Goins","KCR","2B",8
"70879",12.8219444444444,"Jorge Soler","KCR","RF",25
"70880",10.6880555555556,"Whit Merrifield","KCR","2B",10
"70881",10.0152222222222,"Aaron Judge","NYY","RF",3
"70882",9.02961111111111,"Gleyber Torres","NYY","2B",5
"70883",2.80094444444444,"Tyler Austin","NYY","1B",0
"70884",6.90288888888889,"Miguel Andujar","NYY","3B",3
"70885",9.49833333333333,"Giancarlo Stanton","NYY","DH",37
"70886",8.76333333333333,"Brett Gardner","NYY","LF",2
"70887",11.4992777777778,"Gary Sanchez","NYY","C",2
"70888",12.8613333333333,"Neil Walker","NYY","1B",8
"70889",8.21555555555556,"Aaron Hicks","NYY","CF",2
"70890",11.2135555555556,"Didi Gregorius","NYY","SS",0
"70891",6.80188888888889,"Cameron Maybin","MIA","RF",0
"70892",7.35588888888889,"Starlin Castro","MIA","2B",5
"70893",3.60083333333333,"JB Shuck","MIA","OF",0
"70894",7.20833333333333,"Miguel Rojas","MIA","SS",0
"70895",7.98838888888889,"Justin Bour","MIA","1B",19
"70896",3.43383333333333,"Lewis Brinson","MIA","CF",3
"70897",9.56816666666666,"J.T. Realmuto","MIA","C",0
"70898",8.32905555555555,"Derek Dietrich","MIA","LF",8
"70899",6.10811111111111,"Brian Anderson","MIA","3B",11
"70900",10.0095555555556,"Jose Osuna","PIT","UT",3
"70901",7.933,"Francisco Cervelli","PIT","C",11
"70902",5.83522222222222,"Gregory Polanco","PIT","RF",13
"70903",5.34811111111111,"Colin Moran","PIT","3B",11
"70904",5.83005555555556,"Jordy Mercer","PIT","SS",5
"70905",3.14205555555556,"Adam Frazier","PIT","2B",4
"70906",6.47577777777778,"Josh Bell","PIT","1B",20
"70907",3.03838888888889,"Sean Rodriguez","PIT","UT",0
"70908",9.14766666666667,"Starling Marte","PIT","CF",16
"70909",7.83672222222222,"Corey Dickerson","PIT","LF",17
"70910",8.7355,"Yoenis Cespedes","NYM","LF",4
"70911",3.279,"Juan Lagares","NYM","CF",3
"70912",1.66911111111111,"Tomas Nido","NYM","C",0
"70913",7.53011111111111,"Jay Bruce","NYM","RF",2
"70914",1.52727777777778,"Devin Mesoraco","NYM","C",0
"70916",1.73966666666667,"Devin Mesoraco","NYM","C",0
"70915",6.97877777777777,"Adrian Gonzalez","NYM","1B",2
"709141",1.90061111111111,"Devin Mesoraco","NYM","C",0
"709161",2.02666666666667,"Devin Mesoraco","NYM","C",0
"70917",8.13266666666667,"Jose Reyes","NYM","IF",0
"70918",5.55433333333333,"Brandon Nimmo","NYM","OF",0
"70919",8.96494444444445,"Asdrubal Cabrera","NYM","2B",8
"70920",5.75155555555555,"Michael Conforto","NYM","CF",0
"70921",5.40644444444444,"Wilmer Flores","NYM","IF",18
"70922",4.9455,"Amed Rosario","NYM","SS",3
"70923",5.77672222222222,"Nick Franklin","MIL","2B",0
"70924",3.83238888888889,"Brett Phillips","MIL","OF",3
"70925",4.96133333333333,"Orlando Arcia","MIL","SS",0
"70926",9.47194444444445,"Christian Yelich","MIL","LF",9
"70927",6.18777777777778,"Manny Pina","MIL","C",0
"70928",6.46844444444444,"Lorenzo Cain","MIL","CF",3
"70929",9.38683333333333,"Domingo Santana","MIL","RF",4
"70930",6.79833333333333,"Travis Shaw","MIL","3B",15
"70931",7.66194444444445,"Jonathan Villar","MIL","2B",0
"70932",6.49672222222222,"Ryan Braun","MIL","UT",8
"70933",5.60216666666667,"Kole Calhoun","LAA","RF",0
"70934",9.56227777777778,"Justin Upton","LAA","LF",18
"70935",5.27038888888889,"Andrelton Simmons","LAA","SS",5
"70936",15.0226666666667,"Mike Trout","LAA","CF",9
"70937",12.0761666666667,"Zack Cozart","LAA","IF",3
"70938",7.86122222222222,"Ian Kinsler","LAA","2B",0
"70939",4.21244444444445,"Martin Maldonado","LAA","C",3
"70940",4.17788888888889,"Luis Valbuena","LAA","3B",0
"70941",4.00022222222222,"Chris Young","LAA","UT",0
"70942",10.9433333333333,"Shohei Ohtani","LAA","DH",0
"70943",5.45838888888889,"Jabari Blash","LAA","RF",0
"70944",5.93583333333334,"Albert Pujols","LAA","1B",3
"70945",0.217555555555556,"Carlos Perez","TEX","C",0
"70952",0.217555555555556,"Carlos Perez","TEX","C",0
"70946",13.4891666666667,"Joey Gallo","TEX","1B",0
"70947",9.0715,"ShinSoo Choo","TEX","DH",11
"70948",3.83405555555556,"Isiah KinerFalefa","TEX","2B",3
"70949",4.02044444444445,"Ronald Guzman","TEX","1B",3
"70950",8.24833333333333,"Adrian Beltre","TEX","3B",9
"70951",8.25394444444445,"Delino DeShields","TEX","CF",10
"709451",0.0928333333333333,"Carlos Perez","TEX","C",0
"709521",0.0928333333333333,"Carlos Perez","TEX","C",0
"70953",6.80905555555556,"Nomar Mazara","TEX","RF",5
"70954",6.78894444444444,"Jurickson Profar","TEX","SS",15
"70955",5.90533333333333,"Ryan Rua","TEX","LF",0
"70956",5.27911111111111,"Bruce Maxwell","OAK","UT",6
"70957",11.2661666666667,"Khris Davis","OAK","DH",6
"70958",5.55422222222222,"Matt Olson","OAK","1B",0
"70959",7.01105555555556,"Jed Lowrie","OAK","2B",4
"70960",4.2405,"Stephen Piscotty","OAK","RF",3
"70961",8.60272222222222,"Marcus Semien","OAK","SS",17
"70962",8.32555555555556,"Chad Pinder","OAK","UT",0
"70963",6.56316666666667,"Matt Chapman","OAK","3B",3
"70964",3.61422222222222,"Matthew Joyce","OAK","LF",2
"70965",9.74705555555555,"Jonathan Schoop","BAL","2B",5
"70966",11.161,"Adam Jones","BAL","CF",5
"70967",14.6373888888889,"Danny Valencia","BAL","UT",21
"70968",7.69294444444445,"Anthony Santander","BAL","RF",5
"70969",11.0676666666667,"Manny Machado","BAL","SS",5
"70970",5.44444444444444,"Craig Gentry","BAL","OF",8
"70971",10.9862777777778,"Chris Davis","BAL","1B",15
"70972",11.3891111111111,"Trey Mancini","BAL","LF",3
"70973",9.52183333333333,"Mark Trumbo","BAL","UT",8
"70974",4.20511111111111,"Jace Peterson","BAL","OF",4
"70975",4.23355555555555,"Jace Peterson","BAL","UT",4
"709741",3.80705555555556,"Jace Peterson","BAL","OF",4
"709751",4.52127777777778,"Jace Peterson","BAL","UT",4
"70976",4.94283333333333,"Caleb Joseph","BAL","C",18
"70977",7.47422222222222,"Ian Desmond","COL","1B",0
"70978",3.3775,"Tony Wolters","COL","C",5
"70979",7.73977777777778,"Charlie Blackmon","COL","CF",6
"70980",3.77061111111111,"Noel Cuevas","COL","OF",5
"70981",6.25183333333333,"David Dahl","COL","OF",0
"70982",5.94211111111111,"Gerardo Parra","COL","LF",3
"70983",7.01672222222222,"DJ LeMahieu","COL","2B",3
"70984",4.28927777777778,"Trevor Story","COL","SS",21
"70985",4.3965,"Nolan Arenado","COL","3B",7
"70986",3.60761111111111,"Daniel Descalso","ARI","3B",15
"70987",3.61966666666667,"Ketel Marte","ARI","2B",2
"70988",3.49622222222222,"Alex Avila","ARI","C",5
"70989",9.13694444444444,"A.J. Pollock","ARI","CF",18
"70991",1.21477777777778,"John Ryan Murphy","ARI","C",15
"70992",6.66194444444445,"Chris Owings","ARI","RF",15
"70993",6.874,"Jarrod Dyson","ARI","RF",0
"70996",6.49244444444444,"Nick Ahmed","ARI","SS",10
"70997",14.8176666666667,"Paul Goldschmidt","ARI","1B",14
"70999",12.8768333333333,"Steven Souza","ARI","RF",8
"71000",3.18227777777778,"Deven Marrero","ARI","3B",0
"71005",6.85188888888889,"David Peralta","ARI","LF",3
