"","RFPred","Name","HTeam","Pos","Actual"
"5466",15.3276111111111,"Evan Longoria","SFG","3B",0
"5467",2.06788888888889,"Kelby Tomlinson","SFG","MI",0
"5468",6.37911111111111,"Buster Posey","SFG","C",3
"5469",1.65461111111111,"Pablo Sandoval","SFG","UT",0
"5472",1.64861111111111,"Pablo Sandoval","SFG","",0
"5470",2.48261111111111,"Gregor Blanco","SFG","OF",5
"5471",2.00866666666667,"Gorkys Hernandez","SFG","UT",0
"54691",1.67827777777778,"Pablo Sandoval","SFG","UT",0
"54721",1.65561111111111,"Pablo Sandoval","SFG","",0
"5473",9.47411111111112,"Joe Panik","SFG","2B",3
"5474",3.50066666666667,"Brandon Crawford","SFG","SS",0
"5475",6.06877777777778,"Brandon Belt","SFG","1B",15
"5476",5.641,"Andrew McCutchen","SFG","RF",6
"5477",7.41272222222222,"Victor Martinez","DET","DH",9
"5478",9.29611111111111,"Dixon Machado","DET","2B",8
"5479",2.42277777777778,"Victor Reyes","DET","UT",2
"5480",5.26211111111111,"JaCoby Jones","DET","LF",10
"5481",4.433,"Jose Iglesias","DET","SS",24
"5482",6.40216666666667,"James McCann","DET","C",7
"5483",10.2580555555556,"Miguel Cabrera","DET","1B",12
"5484",3.84388888888889,"Leonys Martin","DET","CF",33
"5485",8.0995,"Niko Goodrum","DET","UT",0
"5486",9.73933333333333,"Nicholas Castellanos","DET","RF",0
"5487",10.6112222222222,"Jeimer Candelario","DET","3B",26
"5488",4.618,"Rene Rivera","LAA","C",0
"5489",5.44027777777778,"Luis Valbuena","LAA","3B",0
"5490",10.7180555555556,"Ian Kinsler","LAA","2B",3
"5491",5.63811111111111,"Andrelton Simmons","LAA","SS",11
"16292",5.25733333333333,"Andrelton Simmons","LAA","SS",11
"5492",5.90955555555556,"Albert Pujols","LAA","1B",0
"5493",4.06033333333333,"Martin MaldonadoBrvList","LAA","C",0
"5494",1.01466666666667,"Chris Young","LAA","UT",15
"5495",11.1285555555555,"Shohei Ohtani","LAA","DH",0
"5496",8.77705555555556,"Zack Cozart","LAA","IF",3
"5497",9.03277777777778,"Justin Upton","LAA","LF",0
"5498",4.01905555555556,"Kole Calhoun","LAA","RF",0
"5499",7.71788888888889,"Mike Trout","LAA","CF",0
"5500",5.05,"Jedd Gyorko","STL","3B",12
