,RFPred,Name,HTeam,Pos
59211,15.30027778,J.D. Martinez,BOS,DH
59232,15.22811111,Didi Gregorius,NYY,SS
59129,15.11227778,Mike Trout,LAA,CF
59192,14.93922222,Cody Bellinger,LAD,1B
59024,14.42933333,Bryce Harper,WSN,RF
59229,14.18322222,Brett Gardner,NYY,LF
59224,14.09672222,George Springer,HOU,UT
59243,13.89294444,Billy Hamilton,CIN,CF
590591,13.881,Starling Marte,PIT,CF
591712,13.75583333,Jeimer Candelario,DET,3B
591711,13.6045,Jeimer Candelario,DET,3B
59068,13.53761111,Gregory Polanco,PIT,RF
58996,13.51688889,Miguel Sano,MIN,3B
591392,13.48933333,Jeimer Candelario,DET,3B
590682,13.4175,Gregory Polanco,PIT,RF
591743,13.37738889,Nicholas Castellanos,DET,RF
591383,13.36083333,Miguel Cabrera,DET,1B
591742,13.35461111,Nicholas Castellanos,DET,RF
59174,13.33394444,Nicholas Castellanos,DET,RF
59173,13.26811111,Nicholas Castellanos,DET,RF
59171,13.26755556,Jeimer Candelario,DET,3B
591713,13.24038889,Jeimer Candelario,DET,3B
590593,13.21344444,Starling Marte,PIT,CF
59213,13.08277778,Xander Bogaerts,BOS,SS
59103,13.05111111,Javier Baez,CHC,2B
591741,13.02688889,Nicholas Castellanos,DET,RF
59190,12.97466667,Chris Taylor,LAD,CF
591391,12.95133333,Jeimer Candelario,DET,3B
59214,12.90161111,Mookie Betts,BOS,RF
59165,12.89466667,Nicholas Castellanos,DET,RF
59049,12.86083333,Adam Frazier,PIT,UT
59027,12.84027778,Ryan Zimmerman,WSN,1B
59166,12.84011111,Nicholas Castellanos,DET,RF
59096,12.79738889,Kris Bryant,CHC,3B
59215,12.793,Carlos Correa,HOU,SS
59128,12.78616667,Justin Upton,LAA,LF
590501,12.74783333,Adam Frazier,PIT,UT
591393,12.70027778,Jeimer Candelario,DET,3B
590491,12.60633333,Adam Frazier,PIT,UT
59059,12.53266667,Starling Marte,PIT,CF
59139,12.49116667,Jeimer Candelario,DET,3B
590513,12.48055556,Josh Harrison,PIT,2B
591733,12.44944444,Nicholas Castellanos,DET,RF
59133,12.42805556,Zack Cozart,LAA,IF
59023,12.39911111,Trea Turner,WSN,SS
590433,12.39833333,Starling Marte,PIT,CF
59112,12.39066667,Tommy Pham,STL,CF
590683,12.38161111,Gregory Polanco,PIT,RF
591503,12.38088889,Miguel Cabrera,DET,1B
59021,12.35855556,Derek Dietrich,MIA,LF
591381,12.33911111,Miguel Cabrera,DET,1B
590431,12.31872222,Starling Marte,PIT,CF
59050,12.28483333,Adam Frazier,PIT,UT
59051,12.26866667,Josh Harrison,PIT,2B
59187,12.26016667,Yasiel Puig,LAD,RF
590592,12.2345,Starling Marte,PIT,CF
59198,12.19088889,Asdrubal Cabrera,NYM,2B
591663,12.14066667,Nicholas Castellanos,DET,RF
59216,12.13655556,Max Stassi,HOU,C
591662,12.13216667,Nicholas Castellanos,DET,RF
59081,12.12116667,Elvis Andrus,TEX,SS
590642,12.11177778,Gregory Polanco,PIT,RF
591731,12.10672222,Nicholas Castellanos,DET,RF
59067,12.02972222,Gregory Polanco,PIT,RF
59230,12.02238889,Aaron Judge,NYY,RF
59138,12.01877778,Miguel Cabrera,DET,1B
591732,12.01727778,Nicholas Castellanos,DET,RF
59183,11.88622222,Francisco Lindor,CLE,SS
591651,11.85416667,Nicholas Castellanos,DET,RF
59030,11.78977778,Brian Goodwin,WSN,OF
591653,11.74544444,Nicholas Castellanos,DET,RF
590681,11.73822222,Gregory Polanco,PIT,RF
591382,11.70294444,Miguel Cabrera,DET,1B
590521,11.64594444,Josh Harrison,PIT,2B
590512,11.63016667,Josh Harrison,PIT,2B
590511,11.57394444,Josh Harrison,PIT,2B
59064,11.56761111,Gregory Polanco,PIT,RF
59109,11.55572222,Jedd Gyorko,STL,3B
590672,11.53972222,Gregory Polanco,PIT,RF
590432,11.51988889,Starling Marte,PIT,CF
59150,11.51955556,Miguel Cabrera,DET,1B
59043,11.42427778,Starling Marte,PIT,CF
59083,11.36222222,Drew Robinson,TEX,UT
591501,11.356,Miguel Cabrera,DET,1B
591661,11.29072222,Nicholas Castellanos,DET,RF
59015,11.27955556,Cameron Maybin,MIA,RF
590741,11.26911111,Francisco Cervelli,PIT,C
591652,11.24716667,Nicholas Castellanos,DET,RF
58999,11.21922222,Eduardo Escobar,MIN,SS
58995,11.20677778,Brian Dozier,MIN,2B
59016,11.16794444,Chad Wallach,MIA,C
590523,11.15411111,Josh Harrison,PIT,2B
59221,11.10711111,Evan Gattis,HOU,DH
590522,11.01044444,Josh Harrison,PIT,2B
591502,10.94594444,Miguel Cabrera,DET,1B
58998,10.78688889,Max Kepler,MIN,RF
59233,10.76077778,Gary Sanchez,NYY,C
590671,10.75305556,Gregory Polanco,PIT,RF
590643,10.7475,Gregory Polanco,PIT,RF
59207,10.70888889,Andrew Benintendi,BOS,LF
59105,10.54583333,Kyle Schwarber,CHC,LF
591511,10.53983333,James McCann,DET,C
590641,10.52544444,Gregory Polanco,PIT,RF
59223,10.50672222,Jose Altuve,HOU,2B
59052,10.506,Josh Harrison,PIT,2B
59009,10.45127778,Mallex Smith,TBR,CF
59002,10.38061111,Carlos Gomez,TBR,RF
59151,10.27788889,James McCann,DET,C
590651,10.27422222,Josh Bell,PIT,1B
590743,10.22183333,Francisco Cervelli,PIT,C
59136,10.17722222,Albert Pujols,LAA,1B
59063,10.16061111,Gregory Polanco,PIT,RF
59193,10.14905556,Corey Seager,LAD,SS
59014,10.10927778,Starlin Castro,MIA,2B
590652,10.09611111,Josh Bell,PIT,1B
59040,10.05466667,Dee Gordon,SEA,CF
59108,10.04688889,Matt Carpenter,STL,3B
590673,10.046,Gregory Polanco,PIT,RF
590653,10.0375,Josh Bell,PIT,1B
591621,10.03705556,Jose Iglesias,DET,SS
59172,10.02533333,Jeimer Candelario,DET,3B
59113,10.01111111,Jose Martinez,STL,1B
59091,10.00083333,Brandon Belt,SFG,1B
590742,9.985611111,Francisco Cervelli,PIT,C
59153,9.925944444,John Hicks,DET,UT
59182,9.902722222,Yonder Alonso,CLE,1B
591402,9.864777778,Jeimer Candelario,DET,3B
59218,9.843777778,Jake Marisnick,HOU,CF
591722,9.767944444,Jeimer Candelario,DET,3B
590632,9.722222222,Gregory Polanco,PIT,RF
590661,9.712222222,Josh Bell,PIT,1B
590541,9.699777778,Francisco Cervelli,PIT,C
59176,9.682444444,Jose Ramirez,CLE,3B
59074,9.665277778,Francisco Cervelli,PIT,C
59003,9.658333333,Denard Span,TBR,LF
58992,9.648166667,Eddie Rosario,MIN,LF
