RFPred,Name,HTeam,Pos
18.33505556,Nick Ahmed,ARI,SS
18.28411111,Wilson Ramos,TBR,C
18.27172222,J.D. Martinez,BOS,DH
17.63861111,Teoscar Hernandez,TOR,LF
16.57077778,Addison Russell,CHC,SS
16.49933333,Austin Hedges,SDP,C
15.78138889,Manuel Margot,SDP,CF
15.75094444,Aaron Altherr,PHI,RF
15.20788889,Jose Osuna,PIT,RF
15.05777778,Eric Hosmer,SDP,1B
14.74133333,Randal Grichuk,TOR,RF
14.5635,Cody Bellinger,LAD,1B
14.43644444,Yangervis Solarte,TOR,3B
14.30911111,Kevin Pillar,TOR,CF
14.02944444,Ryan Braun,MIL,LF
13.62183333,George Springer,HOU,UT
13.464,Scooter Gennett,CIN,2B
13.44794444,Salvador Perez,KCR,UT
13.33411111,Gregor Blanco,SFG,OF
13.00638889,Mike Moustakas,KCR,3B
12.88927778,Jason Castro,MIN,C
12.85461111,Jake Lamb,ARI,3B
12.83488889,Brandon Belt,SFG,1B
12.77988889,Evan Longoria,SFG,3B
12.734,Matt Duffy,TBR,3B
12.63677778,Austin Jackson,SFG,CF
12.5815,Cheslor Cuthbert,KCR,DH
12.12116667,Joey Votto,CIN,1B
12.10061111,Nick Hundley,SFG,C
11.94144444,Christian Yelich,MIL,OF
11.83966667,Daniel Robertson,TBR,UT
11.25111111,James McCann,DET,C
11.21922222,Elias Diaz,PIT,C
11.1145,Adam Duvall,CIN,LF
10.77633333,Marwin Gonzalez,HOU,1B
10.61944444,Joey Wendle,TBR,2B
10.57433333,Willson Contreras,CHC,C
10.26588889,Jeimer Candelario,DET,3B
10.23666667,Bryce Harper,WSN,RF
10.22155556,Miguel Sano,MIN,3B
10.21205556,Trea Turner,WSN,SS
10.19866667,Russell Martin,TOR,C
10.04566667,Denard Span,TBR,LF
10.02805556,Francisco Cervelli,PIT,C
10.02111111,Eugenio Suarez,CIN,3B
10.00594444,Austin Slater,SFG,OF
9.932777778,Eduardo Escobar,MIN,SS
9.853833333,Chris Owings,ARI,RF
9.827777778,Gary Sanchez,NYY,C
9.812666667,Miguel Rojas,MIA,SS
9.726111111,Whit Merrifield,KCR,2B
9.700777778,JiMan Choi,MIL,
9.669722222,Jose Peraza,CIN,SS
9.463777778,Byron Buxton,MIN,CF
9.450222222,Aaron Hicks,NYY,CF
9.427277778,Hernan Perez,MIL,UT
9.361333333,Brian Dozier,MIN,2B
9.342722222,Mookie Betts,BOS,RF
9.257555556,Mac Williamson,SFG,LF
