RFPred,Name,HTeam,Pos
18.21872222,Mitch Haniger,SEA,RF
17.45777778,Jose Osuna,PIT,RF
15.71122222,Ozzie Albies,ATL,2B
14.602,Robinson Cano,SEA,2B
13.42344444,Manny Machado,BAL,SS
12.91383333,Ryon Healy,SEA,1B
12.75255556,Ender Inciarte,ATL,CF
12.47122222,Todd Frazier,NYM,3B
12.29916667,A.J. Pollock,ARI,CF
11.87644444,Yoenis Cespedes,NYM,LF
11.62144444,Michael Taylor,WSN,CF
10.92783333,Danny Valencia,BAL,UT
10.84733333,Miguel Rojas,MIA,SS
10.82172222,George Springer,HOU,UT
10.80972222,Brian Anderson,MIA,3B
10.69222222,Tyler Austin,NYY,1B
10.58122222,Trea Turner,WSN,SS
10.41855556,Adrian Gonzalez,NYM,1B
10.221,Chris Taylor,LAD,CF
10.19572222,Corey Dickerson,PIT,LF
9.964777778,Engelb Vielma,BAL,MI
9.798388889,Zack Cozart,LAA,IF
9.5935,Elias Diaz,PIT,C
9.414611111,Carlos Correa,HOU,SS
9.106833333,Ronald Acuna,ATL,LF
9.076222222,Dee Gordon,SEA,CF
9.071222222,Joey Rickard,BAL,OF
9.056611111,Rhys Hoskins,PHI,LF
8.860555556,Asdrubal Cabrera,NYM,2B
8.827277778,Mike Trout,LAA,CF
8.4725,Luis Sardinas,BAL,2B
8.471055556,Andrelton Simmons,LAA,SS
8.401333333,Joey Votto,CIN,1B
8.292,Cesar Hernandez,PHI,2B
8.245222222,Gary Sanchez,NYY,C
8.235222222,Trey Mancini,BAL,LF
8.198666667,Jean Segura,SEA,SS
8.178777778,Bryce Harper,WSN,RF
8.129555556,David Peralta,ARI,LF
8.062388889,Jed Lowrie,OAK,2B
7.795333333,Kyle Seager,SEA,3B
7.736,Adam Jones,BAL,CF
7.628944444,Marcus Semien,OAK,SS
7.615388889,Joc Pederson,LAD,LF
7.607722222,Anthony Santander,BAL,RF
7.581222222,Jesse Winker,CIN,RF
7.571888889,Aaron Judge,NYY,RF
7.536277778,Gregory Polanco,PIT,RF
7.499666667,Ryan Zimmerman,WSN,1B
7.494222222,Gleyber Torres,NYY,2B
7.450333333,Mike Zunino,SEA,C
7.433277778,Freddie Freeman,ATL,1B
7.360166667,Nelson Cruz,SEA,DH
7.345388889,Jose Altuve,HOU,2B
7.250666667,Nick Ahmed,ARI,SS
7.181166667,Albert Pujols,LAA,1B
7.073111111,Manny Pina,MIL,C
6.965777778,Kurt Suzuki,ATL,C
6.949833333,Jose Reyes,NYM,IF
6.919222222,Lorenzo Cain,MIL,CF
6.893,Corey Seager,LAD,SS
6.830222222,Jake Lamb,ARI,3B
6.784888889,Starling Marte,PIT,CF
6.752888889,Jay Bruce,NYM,RF
6.745388889,Francisco Cervelli,PIT,C
6.702,Tim Beckham,BAL,3B
6.685944444,Maikel Franco,PHI,3B
6.646444444,Yasmani Grandal,LAD,C
6.634555556,Jonathan Lucroy,OAK,C
6.618055556,Martin Prado,MIA,3B
6.602111111,Christian Yelich,MIL,OF
6.594055556,Colby Rasmus,BAL,UT
6.551444444,Alex Bregman,HOU,3B
6.492444444,Didi Gregorius,NYY,SS
6.477388889,Pedro Alvarez,BAL,DH
6.459,Nick Markakis,ATL,RF
6.280833333,Justin Bour,MIA,1B
6.236277778,Odubel Herrera,PHI,CF
6.182166667,Nolan Fontana,LAA,2B
6.171166667,Johan Camargo,ATL,IF
6.114111111,Josh Reddick,HOU,RF
6.093166667,Josh Bell,PIT,1B
6.077,Stephen Piscotty,OAK,RF
5.928944444,Shane Robinson,NYY,UT
5.927555556,Matt Chapman,OAK,3B
5.920611111,J.D. Davis,HOU,1B
5.752777778,Taylor Motter,SEA,UT
5.715555556,Alex Verdugo,LAD,RF
5.710777778,Mark Canha,OAK,CF
5.685777778,Ryan Flaherty,ATL,3B
5.677944444,Starlin Castro,MIA,2B
5.638666667,JiMan Choi,MIL,
5.623833333,Billy Hamilton,CIN,CF
5.516611111,Eric Thames,MIL,1B
5.432222222,Jace Peterson,BAL,OF
5.361388889,Adam Eaton,WSN,LF
5.357611111,Adam Duvall,CIN,LF
5.3575,Daniel Descalso,ARI,3B
5.338111111,Chris Stewart,ATL,C
5.323611111,Matt Wieters,WSN,C
5.309,Andrew Stevenson,WSN,OF
5.302833333,Tucker Barnhart,CIN,C
5.250611111,Ketel Marte,ARI,2B
5.244833333,Jace Peterson,BAL,OF
5.223111111,Jose Peraza,CIN,SS
5.161611111,Craig Gentry,BAL,OF
5.128,Ronald Torreyes,NYY,IF
5.114666667,Miguel Andujar,NYY,3B
5.06,Scott Kingery,PHI,UT
5.052111111,Giancarlo Stanton,NYY,DH
5.048833333,Paul Goldschmidt,ARI,1B
5.010444444,John Ryan Murphy,ARI,C
4.996444444,Alex Avila,ARI,C
4.976611111,Jonathan Villar,MIL,2B
4.965055556,Jacob Nottingham,MIL,C
4.956222222,Howie Kendrick,WSN,2B
4.943611111,Josh Harrison,PIT,2B
4.920222222,Scooter Gennett,CIN,2B
4.919611111,Carlos PerezDFA,ATL,C
4.879944444,Luis Valbuena,LAA,3B
4.856833333,Aaron Hicks,NYY,CF
4.839555556,Trayce Thompson,OAK,CF
4.764833333,Matt Olson,OAK,1B
4.731055556,Michael Conforto,NYM,CF
4.718,Brandon Drury,NYY,3B
4.656444444,Jace Peterson,NYY,OF
4.643888889,Chance Sisco,BAL,C
4.632222222,Brian McCann,HOU,C
4.627222222,Jordy Mercer,PIT,SS
4.621388889,Derek Fisher,HOU,LF
4.585611111,Jesus Aguilar,MIL,1B
4.577111111,Boog Powell,OAK,CF
4.559333333,Mike Marjama,SEA,C
4.518777778,Justin Upton,LAA,LF
4.497111111,Orlando Arcia,MIL,SS
4.487833333,Amed Rosario,NYM,SS
4.441222222,Derek Dietrich,MIA,LF
4.437611111,Ryan Braun,MIL,LF
4.433944444,Jace Peterson,NYY,OF
4.427333333,Max Stassi,HOU,C
4.230444444,Jefry Marte,LAA,UT
4.228,Daniel Vogelbach,SEA,1B
4.218888889,Kevin Plawecki,NYM,C
4.206666667,Wilmer Difo,WSN,IF
4.184611111,Khris Davis,OAK,DH
4.179666667,Preston Tucker,ATL,LF
4.162944444,Ryan Schimpf,LAA,UT
4.144222222,Travis Shaw,MIL,3B
4.140555556,Marwin Gonzalez,HOU,UT
4.106444444,Cameron Maybin,MIA,RF
4.046555556,David Freese,PIT,CI
4.022277778,Yasiel Puig,LAD,RF
4.008944444,Lewis Brinson,MIA,CF
3.981277778,Colin Moran,PIT,3B
3.979388889,Aaron Altherr,PHI,RF
3.922277778,Cody Bellinger,LAD,1B
3.879222222,Carlos Santana,PHI,1B
3.8725,Chad Wallach,MIA,C
3.862666667,Domingo Santana,MIL,RF
3.858,Jarrod Dyson,ARI,OF
3.727277778,Sean Rodriguez,PIT,UT
3.722222222,Adrian Sanchez,WSN,3B
3.700611111,Pedro Severino,WSN,C
3.695944444,Matt Kemp,LAD,LF
3.643333333,Bruce Maxwell,OAK,C
3.561,Dansby Swanson,ATL,SS
3.539444444,Caleb Joseph,BAL,C
3.503388889,Hernan Perez,MIL,UT
3.442833333,Moises Sierra,WSN,LF
3.420277778,Braxton Lee,MIA,OF
3.405166667,Juan Lagares,NYM,CF
3.369555556,Brett Gardner,NYY,LF
3.349833333,Chris Davis,BAL,1B
3.250277778,Enrique Hernandez,LAD,UT
3.093833333,Evan Gattis,HOU,DH
3.074333333,Franklin Barreto,OAK,2B
3.067833333,Travis dArnaud,NYM,C
3.021777778,Phil Ervin,CIN,OF
2.993777778,Matthew Joyce,OAK,LF
2.990722222,Brandon Nimmo,NYM,OF
2.942777778,Alex Blandino,CIN,IF
2.930055556,Tyler Flowers,ATL,C
2.862444444,Breyvic Valera,LAD,UT
2.834944444,Brett Phillips,MIL,CF
2.805277778,Jesmuel Valentin,PHI,
2.726388889,Chase Utley,LAD,2B
2.636777778,J.P. Crawford,PHI,SS
2.596166667,Adam Frazier,PIT,UT
2.561444444,Charlie Culberson,ATL,IF
2.5585,Nick Williams,PHI,UT
2.531833333,Chris Owings,ARI,RF
2.513055556,Garrett Cooper,MIA,UT
2.468,Deven Marrero,ARI,IF
2.274055556,Jake Marisnick,HOU,CF
2.183055556,Neil Walker,NYY,1B
2.165388889,Wilmer Flores,NYM,IF
2.136333333,Jorge Alfaro,PHI,C
2.118888889,Austin Barnes,LAD,UT
2.117666667,Miguel MonteroDFA,WSN,C
2.079277778,Philip Gosselin,CIN,UT
2.0145,Billy McKinney,NYY,LF
1.869166667,Matt Adams,WSN,UT
1.854,Cliff Pennington,CIN,IF
1.794777778,Kole Calhoun,LAA,RF
1.784444444,JB Shuck,MIA,OF
1.782055556,Lane Adams,ATL,OF
1.748555556,Andrew Knapp,PHI,C
1.704222222,Rosell Herrera,CIN,
1.640277778,Kyle Farmer,LAD,3B
1.559,Martin Maldonado,LAA,C
1.470722222,Jett Bandy,MIL,C
1.466166667,Tomas TelisDFA,MIA,UT
1.199444444,Rafael Bautista,WSN,OF
1.022666667,Chris Young,LAA,UT
0.780666667,Phillip Evans,NYM,
0.718333333,Yadiel Rivera,MIA,UT
0.703388889,Eric Sogard,MIL,MI
0.535333333,Peter Bourjos,ATL,OF
